cluster_id,pipeline,n_records,record_ids,title,brand,description,price,priceCurrency
c12,baseline,18,"[""r84"", ""r85"", ""r86"", ""r87"", ""r88"", ""r89"", ""r300"", ""r301"", ""r302"", ""r303"", ""r304"", ""r305"", ""r468"", ""r469"", ""r470"", ""r471"", ""r472"", ""r473""]","garmin gps chytré hodinky fenix5x plus sapphire black, black band",garmin,"get more from your workout with less on your wristpremium smaller-sized (42 mm) multisport gps watch with elevate™ wrist heart rate technology¹preloaded activity profiles for all of your sports and adventuresput key stats at your fingertips with the performance widget that shows the effects and progress of your workoutsconnected features² include smart notifications, automatic uploads to garmin connect™ online fitness community and personalization through free watch faces and apps from our connect iq™ storeoutdoor sensors, including gps and glonass satellite reception and 3-axis compass with gyroscope and barometric altimeterbattery life: up to 9 days in smartwatch mode (depending on settings), up to 14 hours in gps mode or up to 35 hours in ultratrac™ battery saver modefor serious athletes and adventurers who want to do more, not wear more – fēnix 5s is the perfect fit. it’s our premium multisport watch that offers full-size performance in a lighter, sleeker, more compact design. so you can beat yesterday with advanced features such as wrist-based heart rate¹, built-in activity profiles, navigation functions, and performance metrics that measure the effectiveness of your workout. it’s one smart sport watch you can comfortably wear anywhere – office or outback – to keep pace with your active lifestyle.striking design, strong performanceathletes and adventurers come in all sizes. that’s why the fēnix 5 series offers multiple models that vary in size to fit every wrist and every workout. each version offers a variety of stainless steel finishes, quickfit™ watch band combinations and premium feature sets to give you the look, performance and lightweight comfort to match both your aesthetic and athletic interests.dual navigation networksevery fēnix 5 series watch features advanced gps and glonass satellite reception to track in more challenging environments than gps alone. you can count on long battery life in each mode of operation (varies by model, depending on settings). and for go-anywhere confidence, all fēnix 5 versions are water-rated to 100 meters.outstanding readability on the runa bright, high-resolution, full-color garmin chroma display™ with led backlighting assures great readability in all ambient conditions. transflective technology that reflects and transmits light at the same time enables the watch face to become even more readable under intense sunlight.sapphire editions feature a scratch-resistant sapphire lens and are also wi-fi®-enabled so your watch can connect to your wireless network and automatically send activity uploads for sharing on garmin connect.wrist-based heart rateon your wrist, elevate wrist heart rate technology lets you monitor your heart rate without wearing a chest strap. in addition to counting steps and monitoring sleep, the watch uses heart rate to provide calories burned information and quantify the intensity of your fitness activities.match your style with interchangeable watchbandsa selection of quickfit bands in your choice of premium leather, metal or silicone makes it easy to mix and match styles to go with any sport or activity. no tools are required to make the transformation. just swap, click and go.advanced performance metricsevery fēnix 5s watch is packed with sophisticated training features to help monitor your form and performance³. enhanced readouts for training status and training effect show aerobic and anaerobic benefits of your workout – so you can see how your workouts are paying off and even compare results with your peers.the vo2 max estimator crunches data, including your running speed, beats per minute and heart rate variability, to estimate the maximum volume of oxygen you can consume per minute.and other fitness metrics include recovery advisor with a recovery timer and recovery check, plus a race predictor that estimates your ideal finish time based on your current vo2 max number.advanced running dynamicsnow you can go further with your running data. garmin training features that tap into extended physiological metrics and advanced running dynamics¹ can help improve your form and overall performance. these include:performance condition: after running for 6-20 minutes, fēnix 5s compares your real-time condition to your average fitness levelslactate threshold: through analysis of your pace and heart rate, fēnix 5s estimates the point where your muscles start to rapidly fatiguecadence — number of steps per minutestride length — shows your stride length in real timewant more? by pairing your watch with a compatible heart rate chest strap such as the hrm-run™, you can access these additional fēnix 5s metrics³:vertical oscillation and ratio — the degree of 'bounce' in your running motion and the benefit ratio to stride lengthground contact time and balance — shows how much time, in the running motion, your foot is on the ground rather than in flight and lets you check your running symmetrystress score: fēnix 5s measures your heart rate variability while standing still, for 3 minutes, to provide you with an estimated stress level. the scale of this is 1 to 100; low scores indicate lower stress levelsswim profiles, skiing, paddle sports, golf and morebeyond their running functions, fenix 5 watches also offer special feature sets to help with swim training, skiing, golfing and paddle sports, including stand-up paddle boarding and rowing.for swimmers, the device tracks your distance, pace, stroke count and more. ski/board mode puts speed, distance, vertical drop and an automatic run counter (with auto pause for the lift line) and more at your fingertips.the feature set for paddle sports includes stroke count, stroke rate and even distance per stroke. golf mode gives you yardage to the front, back and middle of the green for any single course you’ve downloaded from garmin connect – and also adds enhancements such as stat tracking (fairways hit, etc.), green view, autoshot detection and auto measure.navigate the great outdoors, your wayeach model in the fēnix 5 series provides comprehensive navigation and tracking to guide you on and off the beaten path using gps plus abc (altimeter, barometer and compass) sensor capabilities. the built-in altimeter provides elevation data to accurately monitor ascent and descent, while the barometer can be used to predict weather changes by showing short-term trends in air pressure.the 3-axis electronic compass keeps your bearing, whether you’re moving or not. in addition, there’s an internal gyroscope to help improve position accuracy (and battery life) in ultratrac mode – as well as a thermometer to help you monitor changing weather conditions.so many ways to stay connectedall fēnix 5 series models can support smart notifications when paired with a compatible device. receive emails, texts and alerts right on your watch – whether you're on the trail, on the golf course or simply away from your desk. other connected features include automatic uploads to our garmin connect online fitness community, live tracking and social media sharing through our free garmin connect and garmin connect™ mobile applications.custom apps and watch facesyou can customize your fēnix 5s watch with free downloads from our connect iq store. change your watch face, add data fields or get apps and widgets for information at a glance.",19006.00,gbp
c120,baseline,18,"[""r1458"", ""r1459"", ""r1460"", ""r1461"", ""r1462"", ""r1463"", ""r1572"", ""r1573"", ""r1574"", ""r1575"", ""r1576"", ""r1577"", ""r1698"", ""r1699"", ""r1700"", ""r1701"", ""r1702"", ""r1703""]",sigma 35mm f1.4 dg hsm 'a' lens - nikon fit- £75 cashback available from sigma,,"ef-mount lens/full frame formataperture range: f/1.4 to f/16one moulded glass aspherical elementthree special low dispersion elementssuper multi-layer coatingfloating system & large diameter designhyper sonic af motorrounded nine-blade diaphragmthermally stable composite materialbrass bayonet mountcompatible with sigma usb dockintroducing the new benchmark large-aperture standard lens.in 2008, sigma released a large diameter standard lens designed for digital slrs, “sigma 50mm f1.4 ex dg hsm”. at that time, products for film cameras were prevalent, yet we spent enormous effort to set a new benchmark for the 50mm lens that optimizes the characteristics of digital cameras, such as compensating peripheral brightness, controlling the point images in the corners, and improving the image drawing, not only around the focusing point, but also other areas in the image.in recent years, as the dslr evolves, development of image sensors for higher pixel size has created the photographers' desire for the lenses with superior performance. in 2012, sigma has announced the “art” line that achieves unsurpassed expressive performance to fulfill the higher requirement of photographers. the first lens from the “art” line “sigma 35mm f1.4 dg hsm [a012]” sought for uncompromising performance, and it resulted in great reviews as well as a lot of awards from all over the world. based on the accumulated wisdom and know-how to establish the standard for our “art” line series, we are proud to announce the development of the new high performance standard lens with a large diameter for this new era of superb image quality.art line delivers high-level artistic expressionsigma is organizing all its interchangeable lenses into three product lines; contemporary, art, and sports, where each line has a distinctive concept. designed with a focus on sophisticated optical performance and abundant expressive power, our art line delivers high-level artistic expression. with the astonishing rendering performance that meets the high standard, along with landscapes, portraits still-life, close-up, and casual snaps, they are perfect for the kind of photography that unleashes the inner artist. ideal for studio photography, they offer just as much expressive scope when capturing architecture and starry skies and many other scenes.astonishing rendering performanceutilizing know-how and the latest design technology accumulated through the past developments, it corrects the aberration thoroughly and achieves high resolution and astonishing rendering performance even near the edge of the image.achieving both high resolution and beautiful bokehwhile pursuing a high level of resolution on the focused point, bokeh in front and behind the point of focus is carefully maintained to have soft rendering. aberrations including sagittal coma flare and color distortion that affect the image quality are thoroughly corrected. from open aperture, high-definition rendering without blur is achieved. moreover, by ensuring vignetting at the minimum and preventing color blur around the front and back of the focus point, it also achieves natural bokeh.excellent correction of sagittal coma flareit is ideal for a wide aperture standard lens to have a high rendering performance from open aperture throughout the entire image. for instance, the molded glass aspherical lens elements provide excellent correction to sagittal coma flare. it is perfect for astronomical photography and shooting of illumination because of the reduced blur on the point light sources near the edge of the image. it also creates an attractive bokeh in portraits and indoor shooting.correction of axial chromatic aberrationfor axial chromatic aberration that is hard to correct even during the image processing, sld (special low dispersion) glass elements are incorporated, ensuring high image quality throughout the entire focusing range. the lens achieves sharp and high contrast image rendering.minimized distortionit is not possible to compensate for distortion just by changing the aperture values. thus, the lens development stage was vital in ensuring minimized distortion. the “sigma 50mm f1.4 dg hsm” has positioned each glass element to optimize the power layout at respective positions, and succeeded in minimizing distortion.rich peripheral brightnessit secures very rich brightness in the peripheral areas, which can be a common problem for a lens with a large diameter. by positioning wide elements in the front group, it has improved the efficiency at large apertures. since it is capable of minimizing vignetting, very clear depiction across the image is ensured.designed to minimize flare and ghostingflare and ghosting were thoroughly measured and monitored from the lens development stage to establish an optical design which is resistant to strong incidental light such as backlight. the super multi-layer coating reduces flare and ghosting and provides sharp and high contrast images even in backlit conditions.minimum focusing distance of 40cmthe lens incorporates a floating system that adjusts the distance between lens groups while focusing, thereby reducing the amount of lens movement required. this achieves a minimum focusing distance of 40cm and maximum magnification ratio of 1:5.6. as there is less variation in aberration at different shooting distances, the lens delivers high rendering performance throughout the entire focusing range.hyper sonic motor ensures high af speedthe hsm (hyper sonic motor) ensures a silent, high-speed af function. optimizing af algorithm, smoother af is achieved. also, this lens can offer full-time mf function by rotating the focus ring of the lens while auto focusing. without changing the af/mf focus mode switch, it allows faster focus adjustment.new additional function added to “sigma usb dock(optional)”with the optional sigma usb dock, you can update your lens firmware, adjust focus points and customize the setting of full-time mf function and the timing to operate the full-time mf function. by attaching this lens to a sigma usb dock, which is connected to a computer, the dedicated software “sigma optimization pro” offers various types of customization and adjustment.incorporating rounded diaphragmthe 9 blade-rounded diaphragm creates an attractive blur to the out-of-focus areas of the image.design conceptwith the new product lines, supplied hoods incorporate rubber for the connected part. lens caps and af/mf switches are also newly designed in order to improve usability. for the parts inside, metals and a new material called tsc (thermally stable composite), which works well with metals, are located to achieve products with high accuracy. the lens barrel includes the year of release, engraved for users to recognize when the lens was released.brass made bayonet mountthis lens incorporates a brass made bayonet mount which has both high accuracy and durability. a special treatment to reinforce its strength is applied to the surface giving it greater strength and making it highly resistant to long-term use.",9.4999e2,usd
c121,baseline,1,"[""r1466""]","wd 3tb my book desktop 3.5\"" usb3.0 e/hdd",,,1738.26,
c122,baseline,5,"[""r1482"", ""r1483"", ""r1484"", ""r1485"", ""r1487""]","monitor curbat led samsung c27f390fhu, 27\"", full hd, 60hz, negru",,"samsung cf390 27"" 4ms hdmi curved monitor",19632.440,pln
c123,baseline,5,"[""r1500"", ""r1501"", ""r1502"", ""r1504"", ""r1505""]","benq lcd sw2700pt 27\"" w/ips led/2560x1440/5ms/dvi-dl/hdmi/2xusb3.0/flicker-free/vesa 9h.ldklb.qbe",,"benq sw2700pt 27\"" 2kphotovue photographer monitor",695.64,pln
c124,baseline,1,"[""r1503""]",,,,,pln
c125,baseline,6,"[""r1524"", ""r1525"", ""r1526"", ""r1527"", ""r1528"", ""r1529""]","park tool ct-5, portable chain tool",park tool,"park's mini chain brute chain tool goes anywhere and features a v-shaped handle, a super-strong replaceable pin, and fine threads to make chain removal and installation a breeze. the ct-5 works on...",1.695e1,usd
c126,baseline,1,"[""r1561""]",,,cisco catalyst 2960 x 24 gige lan base 2 x 10g sfp+ switch,,usd
c127,baseline,1,"[""r1600""]",,,,,eur
c128,baseline,1,"[""r1601""]",intel core i7 9700f coffee lake refresh eight core 3.0 ghz 1151,,,399.00,
c129,baseline,1,"[""r1617""]",,,,,eur
c13,baseline,165,"[""r102"", ""r103"", ""r104"", ""r105"", ""r106"", ""r107"", ""r108"", ""r109"", ""r110"", ""r111"", ""r112"", ""r113"", ""r138"", ""r141"", ""r142"", ""r143"", ""r144"", ""r145"", ""r146"", ""r147"", ""r148"", ""r149"", ""r240"", ""r242"", ""r243"", ""r244"", ""r245"", ""r253"", ""r254"", ""r255"", ""r256"", ""r257"", ""r330"", ""r333"", ""r334"", ""r335"", ""r432"", ""r433"", ""r434"", ""r435"", ""r436"", ""r437"", ""r492"", ""r493"", ""r494"", ""r495"", ""r496"", ""r497"", ""r540"", ""r541"", ""r542"", ""r543"", ""r544"", ""r545"", ""r948"", ""r949"", ""r950"", ""r951"", ""r952"", ""r953"", ""r996"", ""r997"", ""r998"", ""r999"", ""r1000"", ""r1001"", ""r1056"", ""r1057"", ""r1059"", ""r1060"", ""r1061"", ""r1116"", ""r1117"", ""r1118"", ""r1119"", ""r1120"", ""r1128"", ""r1129"", ""r1131"", ""r1176"", ""r1177"", ""r1178"", ""r1179"", ""r1180"", ""r1181"", ""r1206"", ""r1207"", ""r1208"", ""r1209"", ""r1210"", ""r1211"", ""r1296"", ""r1297"", ""r1298"", ""r1299"", ""r1300"", ""r1320"", ""r1321"", ""r1322"", ""r1323"", ""r1324"", ""r1325"", ""r1332"", ""r1333"", ""r1334"", ""r1335"", ""r1336"", ""r1337"", ""r1368"", ""r1369"", ""r1370"", ""r1371"", ""r1372"", ""r1373"", ""r1392"", ""r1393"", ""r1394"", ""r1395"", ""r1396"", ""r1397"", ""r1422"", ""r1423"", ""r1424"", ""r1425"", ""r1426"", ""r1488"", ""r1489"", ""r1490"", ""r1491"", ""r1492"", ""r1493"", ""r1620"", ""r1622"", ""r1623"", ""r1624"", ""r1625"", ""r1680"", ""r1681"", ""r1682"", ""r1683"", ""r1684"", ""r1685"", ""r1722"", ""r1723"", ""r1724"", ""r1725"", ""r1726"", ""r1727"", ""r1770"", ""r1771"", ""r1772"", ""r1773"", ""r1774"", ""r1775"", ""r1776"", ""r1777"", ""r1778"", ""r1779"", ""r1780"", ""r1781"", ""r1788"", ""r1789"", ""r1790"", ""r1791"", ""r1793""]",tp-link archer c60 ieee 802.11ac ethernet wireless router - 2.40 ghz ism band - 5 ghz unii band(5 x external) - 168.75 mb/s wireless speed - 4 x network port - 1 x broadband port - fast ethernet - vpn supported - desktop,tp-link,"lan x 4, wan, usb 2.0, ieee 802.11n/g/b/a/ac, 2.4 - 5 ghz, 300 - 867 mbps","1,409.99 lei;",eur
c130,baseline,1,"[""r1621""]",,,,,ghs
c131,baseline,1,"[""r1675""]",,,"the comfortable, lower-profile shape feels good in either hand—even after a long day of work. you’ll enjoy smooth, precise cursor control that lets you edit documents and navigate the web more efficiently. it works right out of the box—you just plug it into your usb port and you’re ready for business.",,eur
c132,baseline,6,"[""r1686"", ""r1687"", ""r1688"", ""r1689"", ""r1690"", ""r1691""]",hikvision 4 port poe switch unmanaged ref: ds-3e0105p-e,,"the hikvision ds-3e0105p-e is a network switch poe. with a 100mbps port and 4 10/100mbps power over ethernet ports, hikvision's unique ds-3e0105p-e switch is a high-powered solution. it offers a simple no configuration setup, automated detection, and compliant energy input capabilities for consistent results. by providing a robust extended transmission mode, the unmanaged poe switch delivers optimal speeds of 10mbps across longer ranges (up to 250 meters). featureslayer 2 unmanaged poe switch4x 10/100mbps ethernet ports1x 100mbps uplinkieee 802.3af or 802.3at poe standard802.3af or 802.3at132 mm x 93.3 mm x 27.6 mmpower: 51 vdc, 63 watts max (psu included)operating temperature: 0 - 40cspecificationsportsnetwork ports:5poe port:4,10/100mbpsrj45portsuplink port:1,100methernetportstandardnetwork protocol:ieee802.3,802.3u,802.3x,802.3af,802.3atperformanceswitching capacity:1gbpsmax. forwarding rate:0.74mppshigh priority ports:port1forwarding mode:store-and-forwardmac address table:1kflow control:ieee802.3xfullduplexpower over ethernetpoe standard:ieee802.3af,ieee802.3atpoe power budget:58wworking mode:extendon:250m,10m,cat5eextendoff:100mgeneralpower supply:51vdc,1.25apower consumption:≤63wsurge protection:4kvworking temperature:temperature:0℃-40℃working humidity:humidity:10%-90%,non-condensingstorage temperature:temperature:-40℃-70℃storage humidity:humidity:5%-90%,non-condensingweight:0.299kgdimension:132mm*93.3mm*27.6mmdownloadsds-3e0105p-e_datasheet.pdf",37.398553,eur
c133,baseline,1,"[""r1693""]",,,"crucial 4gb ddr3 pc3-12800 unbuffered non-ecc 1.35v204-pin sodimmddr3 204-pin sodimm: approximately 2.66 in. by 1.18 in. (66 mm by 30 mm)in short, 204-pin small outline dual inline memory modules (sodimms) are the form factor used to provide ddr3 memory modules for notebook computers and other small form factor computing platforms. 204-pin sodimms are currently available in pc3-8500 (ddr3 1066mhz) and pc3-10600 (ddr3 1333mhz) speeds.to use ddr3 memory, your system must have both a 204-pin sodimm slot and a chipset that supports ddr3 memory. a ddr3 sodimm will not fit into ddr2 or ddr memory sockets. (information about which memory technology your system uses is included in the crucial memory advisor™ tool.)sodimms are smaller and thinner than regular dimms, and the 204-pin sodimm pcbs are always ~2.6 inches long and are usually around 1.18 inches high (though the heights can vary slightly). they consist of a number of memory components (usually black) that are attached to a printed circuit board (usually green). the number of memory components on a 204-pin sodimm’s printed circuit board (pcb) can vary, but the pcb will always have 102 pins on the front and the back both, for a total of 204 pins. the gold pins on the bottom of the sodimm provide the connection between the memory module and the memory socket.specificationecc: non-eccform factor: sodimmmodule size: 4gbkit qty: 1speed: 1600 mt/stracer: falsevoltage: 1.35vdimm type: unbufferedbullet features: increases system performancewarranty: limited lifetimespecs: ddr3 pc3-12800 • cl=11 • unbuffered • non-ecc • ddr3-1600 • 1.35v",,mur
c134,baseline,1,"[""r1695""]",,,,,usd
c135,baseline,1,"[""r1746""]",,,,,aud
c136,baseline,1,"[""r1747""]",,,,,pln
c137,baseline,1,"[""r1748""]",smx3000hvapc smart-ups x 3000va short depth tower/rack convertible lcd 200-240v,,,1358394.00,
c138,baseline,1,"[""r1750""]",,,"intelligent and efficient network power protection from entry level to scaleable runtime. ideal ups for servers, point-of-sale, routers, switches, hubs and other ...",,aud
c139,baseline,1,"[""r1792""]",,,,,usd
