cluster_id,pipeline,n_records,record_ids,title,brand,description,price,priceCurrency,used_llm_fusion
c107,llm_assisted,12,"[""r762"", ""r763"", ""r764"", ""r765"", ""r766"", ""r767"", ""r936"", ""r937"", ""r938"", ""r939"", ""r940"", ""r941""]",osram cfl square 16w 835 4p gr10q | zimna biel - 4-piny,osram,"ledvance cfl square 16 w/835 gr10q, ean: 4050300816876",6.23,eur,1
c108,llm_assisted,5,"[""r768"", ""r769"", ""r770"", ""r772"", ""r773""]","iiyama prolite xu2390hs-b1 23\"" led monitor with ips panel",iiyama,"23\"" iiyama prolite xu2390hs-b1 monitor, ips panel, 1920x1080, 5ms, 250cd/m² brightness, d-sub/dvi/hdmi, black",148.99,eur,1
c109,llm_assisted,1,"[""r771""]","xu2390hs-b1iiyama 23\"" ultra slim line , 1920x1080, ips-panel, 4ms, 250 cd/m², speakers, vga, dvi & hdmi",,,1.09,dkk,0
c11,llm_assisted,1,"[""r48""]",kingston 256gb data traveler 100 generation 3 usb 3.0(fekete) (dt100g3/256gb),,,11960,huf,0
c110,llm_assisted,1,"[""r789""]",maxxis tire assegai 3c maxxterra/exo+/tr foldable 27.5x2.50wt,,"the maxxis assegai tire is named after the iron-tipped spear used by the zulu people of south africa. greg minnaar, a native of south africa, thought it was a fitting name for a tire ready to do battle on the mountain. the tall knobs punch through dust and loam to find traction, but also offer support and confidence on wet roots and rocks. while other tires excel only in certain conditions, the new maxxis assegai is built to go fast everywhere.",,,0
c111,llm_assisted,1,"[""r812""]",tuf b450m-plus gaming socket am4 micro atx amd b450,,"processor manufacturer: amdcompatible processor series: amd athlon, amd ryzen 3 3rd gen, amd ryzen 3, 2nd generation amd ryzen™ 3, amd ryzen 5, 2nd generation amd ryzen™ 5, 3rd generation amd ryzen 5, amd ryzen 7, 2nd generation amd ryzen™ 7, 3rd generation amd ryzen 7, 3rd generation amd ryzen 9maximum number of smp processors: 1processor socket: socket am4maximum resolution: 4096 x 2160 pixelsparallel processing technology support: crossfirexmotherboard chipset: amd b450audio chip: realtek alc887-vd2audio output channels: 7.1 channelsmotherboard form factor: micro atxmotherboard chipset family: amdcomponent for: pcwindows operating systems supported: windows 10 education x64, windows 10 enterprise x64, windows 10 home x64, windows 10 pro x64supported memory clock speeds: 3200, 2133, 2400, 2666 mhz, 2800, 3000unbuffered memory: ymemory channels: dual-channelsupported memory types: ddr4-sdramnumber of memory slots: 4memory slots type: dimmwidth: 244 mmdepth: 244 mmlan controller: realtek rtl8111hwake-on-lan ready: yethernet lan: yethernet interface type: gigabit ethernetusb 2.0 connectors: 2usb 3.2 gen 1 (3.1 gen 1) connectors: 1number of sata iii connectors: 6front panel audio connector: yatx power connector (24-pin): ycpu fan connector: ynumber of chassis fan connectors: 2front panel connector: ynumber of com connectors: 1number of eatx power connectors: 112v power connector: ybios type: uefi amibios memory size: 128 mbitacpi version: 6.1clear cmos jumper: yplug and play: ysystem management bios (smbios) version: 3.1manual: ycables included: satadrivers included: yraid levels: 0, 1, 10ethernet lan (rj-45) ports: 1usb 2.0 ports quantity: 2usb 3.2 gen 2 (3.1 gen 2) type-a ports quantity: 1hdmi ports quantity: 1usb 3.2 gen 2 (3.1 gen 2) type-c ports quantity: 1hdmi version: 2.0bps/2 ports quantity: 1dvi-d ports quantity: 1pci express x16 (gen 3.x) slots: 2number of m.2 (m) slots: 1pci express x1 (gen 2.x) slots: 1",1031.00,dkk,0
c112,llm_assisted,1,"[""r814""]",asus tuf b450m-plus gaming(tuf b450m-plus gaming),,,30970,huf,0
c113,llm_assisted,2,"[""r819"", ""r1148""]","western digital dysk my passport 1tb 2,5 black wdbyvg0010bbk-wesn",,,46383,clp,1
c114,llm_assisted,1,"[""r829""]","asus placa de baza prime x570-p, x570, socket am4, atx",,cpu socket: am4chipset: x570capacitate maxima memorie ram (mb): 128 gb ddr4sloturi pci-e x16: 2 (x16 / x4),1019.99,ron,0
c115,llm_assisted,2,"[""r840"", ""r842""]",wd purple 3.5 10tb 7200rpm 256mb sata 3 7/24 wd101purz,wd,,2195,sek,1
c116,llm_assisted,1,"[""r843""]",wd 3.5'' 10tb 7200rpm sata3 256mb wd101purz,,3.5'' 10tb 7200rpm sata3 256mb...,2.4189e3,try,0
c117,llm_assisted,2,"[""r844"", ""r845""]",western digital purple sata 10tb (wd101purz),,massive 10.2tb hdd drive capacity. perfect 7200rpm disk speed for storing music and photos,,,1
c118,llm_assisted,16,"[""r852"", ""r853"", ""r854"", ""r855"", ""r856"", ""r857"", ""r900"", ""r901"", ""r902"", ""r903"", ""r904"", ""r905"", ""r1046"", ""r1047"", ""r1048"", ""r1049""]",32ch hikvision 2mp dvr hdmi turbo 1080p ds-7332hqhi-k4,hikvision,"key featuresh.265+/h.265/h.264+/h.264 encoding for the main streamself-adaptive hdtvi/hdcvi/ahd/cvbs signal inputfull channel recording at up to 4 mp lite resolution12.5fps recording on 1080phdmi output at up to 4k (3840 × 2160) resolutionalso includes 1 x bnc (cvbs) video outputlong transmission distance over coax cablesupport up to 16-ch synchronous playbackinternet & smart phone compatibledownloadmanufacturers spec sheet (pdf)compatibilityhd-tvi: any hikvision hd-tvi camera (below 4mp)ahd: any ahd cctv camera (below 4mp)analogue: any analogue cctv cameravideo / audio inputvideo compressionh.265 pro+/h.265 pro/h.265/h.264+/h.264analog and hd-tvi video input32ch; bnc interface (1.0vp-p, 75 ω)supported camera typessupport hdtvi input:4 mp, 3 mp, 1080p30, 1080p25, 720p60, 720p50, 720p30, 720p25 note: the 3 mp signal input is only available for channel 1/2/3/4.support ahd input:4 mp, 1080p25, 1080p30, 720p25, 720p30support hdcvi input: 1080p25, 1080p30, 720p25, 720p30support cvbs input:pal/ntscip video input8-ch (up to 40-ch) - up to 6mp - supports h.265+/h.265/h.264+/h.264 ip camerasaudio compressiong.711uaudio input / two-way audio in4-ch, rca (2.0 vp-p, 1 kω)video / audio outputcvbs output1-ch, bnc(1.0vp-p,75ω), resolution:pal:704x576hdmi / vga outputvga / hdmi-1: 1-ch, 1920 × 1080/60hz, 1280 × 1024/60hz, 1280 × 720/60hz, 1024 × 768/60hzhdmi-2: 1-ch, 4k (3840 × 2160)/30hz, 2k (2560 × 1440)/60hz, 1920 × 1080/60hz, 1280 × 1024/60hz, 1280 × 720/60hz, 1024 × 768/60hzencoding resolutionwhen 1080p lite mode not enabled: 4 mp lite/3 mp/1080p/720p/vga/wd1/4cif/cif;when 1080p lite mode enabled: 4 mp lite/3 mp/1080p lite/720p lite/vga/wd1/4cif/cifframe ratemain stream:when 1080p lite mode not enabled:for 4 mp stream access: 4 mp lite@15fps; 1080p lite/720p/wd1/4cif/vga/cif@25fps(p)/30fps (n)for 3 mp stream access: 3 mp/1080p/720p/vga/wd1/4cif/cif@15fpsfor 1080p stream access: 1080p/720p@15fps; vga/wd1/4cif/cif@25fps (p)/30fps (n)for 720p stream access: 720p/vga/wd1/4cif/cif@25fps (p)/30fps (n)when 1080p lite mode enabled:for 4 mp stream access: 4 mp lite@15fps; 1080p lite/720p lite/wd1/4cif/vga/cif@25fps (p)/30fps(n)for 3 mp stream access: 3 mp/1080p lite/720p lite/wd1/4cif/vga/cif@15fpsfor 1080p stream access: 1080p lite/720p lite/wd1/4cif/vga/cif@25fps (p)/30fps (n)for 720p stream access: 720p/wd1/4cif/vga/cif@25fps (p)/30fps (n)sub-stream:wd1/4cif@12fps; cif@25fps (p)/30fps (n)video bit rate32 kbps - 6 mbpsaudio output1-ch, rca (linear, 1kω)audio bit rate64 kbpsdual-streamsupportstream typevideo, video & audiosynchronous playback16chnetwork managementremote connections128network protocolstcp/ip, pppoe, dhcp, hik-connect, dns, ddns, ntp, sadp, nfs, iscsi, upnp™, https, onvifhard disksata4 sata interfacecapacityup to 10 tb capacity for each diskesatasupportexternal interfacenetwork interface1, rj45 10m/100m/1000m self-adaptive ethernet interfaceserial interfacers-232, rs-485 (full-duplex), keyboardusb interfacefront panel: 2 × usb 2.0rear panel: 1 × usb 3.0alarm in/out16/4generalpower supply100 to 240 vacconsumption (without hdd)max 45wworking temperature-10 °c ~ +55 °cworking humidity10% ~ 90%dimensions (w x h x d)440 x 390 x 70 mm weightapprox. 7kg",4980.00,ils,1
c119,llm_assisted,1,"[""r906""]",tanica inchiostro a pigmenti nero light-light epson ultrachrome hdr (350ml),epson,,186.43,eur,0
c12,llm_assisted,3,"[""r54"", ""r58"", ""r59""]",aaa replica omega seamaster diver 300m master co-axial watch 210.22.42.20.01.002,omega,"omega seamaster diver 300m 210.22.42.20.01.002 reviewthe omega seamaster diver seems to be the watch that will take the omega collections to greater limelight of luxurious timepieces. the omega seamaster diver celebrated its 30th anniversary in 2018. celebrations were marked by the release of more improved models of the watch. the omega seamaster diver 300m 210.22.42.20.01.002 is one of the upgraded versions of the model that has been released so far. the case of the omega seamaster diver 300m 210.22.42.20.01.002 has been increased by 1mm compared to its previous model. the model is encased in a 42 mm of the legendary omega sedna rose gold. this is combined with stainless steel which surrounds the black dial which is a laser-engraved wave. the case is water resistance up to 300 meters / 1000 feet (30bars). on the sides of the case, you will notice that the watch is equipped with scratch-resistant sapphire crystals.the anti-glare coated sapphire crystals are domed in shape. this is a very important feature for clearer legibility, due to the delicate coating the watch requires attention. the case looks very elegant with the satin-brushed finish. the thickness of the omega seamaster diver 300m 210.22.42.20.01.002 model is 13.5mm. the watch has a crown protector that is polished, and carefully tucked in between is a gold crown. another notable feature is the satin-brushed finish found on the sedna gold bezel, it creates a wonderful contrast to the glossy polish done on the ceramic. this model of omega seamaster diver watch has a bi-color concept. the concept has been smartly expressed by omega in several accents. all these accents have been created by the sedna™ gold (18k pink gold alloy) which is patented by omega. the alloy brings sportiness and more heat to the dial of the watch. in addition to that, the alloy has been used to fill the symbols which are located on the black ceramic bezel. the watch is manually controlled by the helium release valve located at the 10 o’clock sign. the helium release valve happens to be a signature feature of the omega seamaster diver 300m. however, there are some watches in the market which have the same water resistance level of 30 bars but don’t have the helium release valve. omega has maintained this feature in this model since it was present in the very first model of the omega seamaster diver 300m. the other additional feature of the helium release valve is that it can be opened and closed safely underwater.the dial has the legendary wave’s design which was seen in the original model but got lost in the previous updates of the model. the waves are a little different than the ones on the first model of omega seamaster diver. with this seamaster diver 300m model, the waves are laser engraved and are located on the polished ceramic dials. the dial has been made of polished ceramic and comes in a variety of colors: pvd chrome color, black or blue. at 6 o’clock you find the date aperture instead of 3 o’clock. the black date disc has a white print. close to the aperture you will find a smaller hour index. the lume color on the dial is pretty amazing. the hour indices are blue, the bezel is green, and so is the minute hand. the watch is powered by omega’s caliber 8800 internal movement. this is the very first-time omega is using an in house movement, all the previous models used the caliber 2500. the movement is certified as a master chronometer and very solid. the movement guarantees high accuracy ranging from +0 to +5 seconds daily. the timepiece comes both in rubbers tarps and steel bracelets. the ones with steel bracelets are more costly than the rubber strapped ones. the 210.22.42.20.01.002 model has rubbers straps. the rubber straps are much softer and supple compared to the previous rubber straps used by omega. instead of a folding buckle, omega included a normal buckle in this watch model. the buckle has an amazing finish and is signed omega. unlike the 1990s models’ rubber straps, these straps lack the double ridged feature. the watch has the following specifications:➢ stainless steel and sedna (18-carat rose gold) case.➢ the case has a diameter of 42mm, and thickness: 13.5mm➢ sapphire crystals➢ sapphire case back➢ 300 meters of water resistance ➢ rubber strap with a stainless steel buckle.the omega 210.22.42.20.01.002 model is a wonderful piece that can be worn during both official and casual events. visit exquisite timepieces to get your omega seamaster diver 300m 210.22.42.20.01.002 at an affordable price. the watch retails at around $5000. in addition to that, you can find reviews of other luxurious watches in the market. they also have the latest luxury watch arrivals and are the leading provider of luxury timepieces in the market.",6800,usd,0
c120,llm_assisted,1,"[""r907""]",epson ink stylus pro 7890/9890 & 7900/9900 - light light black,,epson ultrachrome inks for stylus pro 7890/9890 & 7900/9900 350mlk3 hdr light light blackavailabilityin stock,133.5,eur,0
c121,llm_assisted,14,"[""r912"", ""r913"", ""r914"", ""r915"", ""r916"", ""r1434"", ""r1436"", ""r1438"", ""r1439"", ""r1705"", ""r1706"", ""r1707"", ""r1708"", ""r1709""]",amd ryzen 9 3900xt 12 core socket am4 3.80ghz unlocked cpu processor,amd,amd ryzen 9 3900xt 12 core socket am4 3.80ghz unlocked cpu processor - number of cpu cores: 12 - number of threads: 24 - base clock: 3.80 ghz - max boost clock: up to 4.70 ghz - total l2 cache: 6mb - total l3 cache: 64mb - unlocked: yes - socket: am4 - pci express version: pcie 4.0 - default tdp / tdp: 105w - 100-100000277wof - 3 years limited warranty,9.17304e3,zar,1
c122,llm_assisted,1,"[""r917""]",amd cpu ryzen 9 3900xt box without cooler,,cpu amd ryzen 9 3900xt box without cooler,548.62,eur,0
c123,llm_assisted,1,"[""r918""]",ink canon pg-545 nero pixma mg2450/ 2550,,,16.00,eur,0
c124,llm_assisted,1,"[""r947""]",sony sel-70200g f4 oss,,"sony sel-70200g e-mount camera lens,power and precision throughout the zoom range for e-mount. e-mount 70–200mm power zoom lens with optical steadyshot, f2.8 aperture & two ed glass elements. high image quality and contrast from a g lens quiet power zoom with optical steadyshot maximum... more details",1 349 €,eur,0
c125,llm_assisted,1,"[""r956""]",sony sel 35mm/f2.8 fe full frame,,,"€799,00",eur,0
c126,llm_assisted,1,"[""r962""]","plaquettes - road disc, level a1 (17-19) -organic/steel",,"#caracteristiques#• tailles:sram disc brake pads organic/steel sram hydraulic road disc, level ultimate/tlm",0,eur,0
c127,llm_assisted,1,"[""r981""]",cooler master case h500m haf elements designs,,product details of cooler master mastercase h500m e-atx argb gaming case with four tempered glass side panelsinterchangeable mesh/glass front panel360mm radiator at top and frontrich connectivity with usb 3.1 (gen 2) type-c supporttwo additional pci slots at the rear for vertical gpu positioningnine management covers for clean buildingdedicated water pump/reservoirbracket offers mounting option atop the psu shroudgraphics card support armtwo 200mm addressable rgb fansaddressable rgb controller,399,myr,0
c128,llm_assisted,1,"[""r982""]","mastercase h500m tempered glass, no psu, e-atx, iron grey, mid tower case",,"mastercase h500m tempered glass, no psu, e-atx, iron grey, mid tower case",323.46,usd,0
c129,llm_assisted,1,"[""r1003""]",catalyst 2960 plus-48tc-l,,"the cisco® catalyst® 2960-plus series switches are fixed-configuration fast ethernet switches (figure 1) that provide enterprise-class layer 2 switching for branch offices, conventional workspaces, and infrastructure applications. they enable reliable and secure operations with lower total cost of ownership through a range of cisco ios® software features, including cisco catalyst smartoperations. for more detail: https://www.cisco.com/c/en/us/support/switches/catalyst-2960-plus-48tc-l-switch/model.html",17982.22,hkd,0
c13,llm_assisted,2,"[""r55"", ""r56""]",omega seamaster diver 300m rose gold 42mm 210.22.42.20.01.002,omega,reference number 210.22.42.20.01.002 gold/steel automatic year 2020 watch with original box watch with original papers 42mm,38900,try,1
c130,llm_assisted,2,"[""r1017"", ""r1150""]","hdd extern wd my passport, 4tb, 2,5"" usb 3.0, negru",,"hdd extern wd, 4tb, my passport, 2,5"" usb 3.0, negru",628.5714,ron,1
c131,llm_assisted,1,"[""r1038""]",memória ram kingston_valueram ddr3 hyperx 1600mhz hx316c10f/8,,ddr3 hyperx 8gb 1600mhzcl10 fury blue series,37.64,eur,0
c132,llm_assisted,1,"[""r1044""]",hikvision-ds-7216hqhi-k1 (turbo hd 4.0)1080p 4mp lite,,support h.265 pro+/h.265 pro/h.265 video compression support hdtvi/ahd/cvi/cvbs/ip video input audio via coaxial cable max. 6/12/24 ip cameras input (up to 6 mp) max. 800 m for 1080p and 1200 m for 720p hdtvi signal transmission up to 10 tb capacity per hdd,715.00,aed,0
c133,llm_assisted,1,"[""r1045""]",dvr 16 canaux 1080p 1u h.265,,,270000,xof,0
c134,llm_assisted,3,"[""r1050"", ""r1052"", ""r1054""]",epson light cyan (80 ml) for stylus pro 3800,,epson light cyan ink cartridge for use in epson stylus pro 3800 machines. oem code c13t580500.,91.00,cad,1
c135,llm_assisted,1,"[""r1058""]",ubiquiti networks uap-ac-m-pro 1300mbit/s power over ethernet (poe) wit wlan toegangspunt,,"scalable enterprise wi-fi managementunifi is the revolutionary wi-fi system that combines enterprise performance, unlimited scalability, and a central management controller. the unifi ac mesh aps have a refined industrial design and can be easily installed using the included mounting hardware.easily accessible through any standard web browser, the unifi controller software is a powerful software engine ideal for high-density client deployments requiring low latency and high uptime performance.use the unifi controller software to quickly configure and administer an enterprise wi-fi network – no special training required. rf map and performance features, real-time status, automatic uap device detection, and advanced security options are all seamlessly integrated.featuressave money and save time unifi comes bundled with a non-dedicated software controller that can be deployed on an on-site pc, mac, or linux machine; in a private cloud; or using a public cloud service. you also have the option of using the unifi cloud key with built-in software.powerful hardwarethe unifi ac mesh aps feature wi-fi 802.11ac with plug & play mesh technology.intuitive unifi controller software configure and manage your aps with the easy-to-learn user interface.expandable unlimited scalability: build wireless networks as big or small as needed. start with one and expand to thousands while maintaining a single unified management system.",1.00895e3,eur,0
c136,llm_assisted,1,"[""r1065""]",spd sl cleats - pair - fixed cleat / black & red,,repacement cleats for all shimano spd-sl pedals.supplied with fixing bolts.sm-sh10 - red & black - fixed cleat.sm-sh11 - yellow & black - self aligning.sm-sh12 - blue & black - front pivot centre.,15.99,gbp,0
c137,llm_assisted,1,"[""r1068""]",datatraveler microduo - cl usb - 64 go - usb 3.9,,kingston datatraveler microduo - cl usb - 64 go - usb 3.9,37.704,eur,0
c138,llm_assisted,1,"[""r1069""]",pendrive kingston mini flash drive dtse9g2/64gb,,pen drive 64gb datatraveler se9 g2 usb 3.0 (metal casing),11.85,eur,0
c139,llm_assisted,1,"[""r1089""]","intel core i3 7100 3.9 ghz, 3mb, socket 1151",,"intel core i3 7100 3.9 ghz, 3mb, socket 1151",1356.00,sek,0
c14,llm_assisted,1,"[""r57""]",seamaster diver 300m 18ct sedna gold automatic men’s watch,,,5840,gbp,0
c140,llm_assisted,1,"[""r1096""]","sandisk extreme microsdxc,v30,u3,c10,a2,uhs-i,160mb/s r,90mb/sw,4x6,sdadaptor,lifetimelimited",,"mpn: sdsqxa1-256g-gn6mavendor:sandisksandisk extreme microsdxc,v30,u3,c10,a2,uhs-i,160mb/s r,90mb/sw,4x6,sdadaptor,lifetimelimitedsandisk extreme microsdxc,u3,c10,a2,uhs-i,160mb/s r,90mb/sw,4x6,sdadaptor,lifetimelimited",88.00,aud,0
c141,llm_assisted,1,"[""r1121""]",es-16-150wubiquiti 16 port poe edgeswitch 150 watt,,,1.98,ghs,0
c142,llm_assisted,1,"[""r1130""]",tarjeta de red pci express x1 inalambrica tp-link wireless 802.11n/g/b150mbps antena desmonta 2dbi,,,189.1728,mxn,0
c143,llm_assisted,1,"[""r1132""]",tp-link 150mbit-wlan-lite -n-pci express x1 adapter,,tp-link 150mbit-wlan-lite -n-pci express x1 adapter,127.20,sek,0
c144,llm_assisted,1,"[""r1133""]","adaptador wifi n pci express 150 mbps 20dbm, 802.11b/g/n chipset atheros, 1 antena 2 dbi desmontable.",,"adaptador wifi n pci express 150 mbps 20dbm, 802.11b/g/n chipset atheros, 1 antena 2 dbi desmontable.",54,pen,0
c145,llm_assisted,1,"[""r1167""]",epson singlepack cyan 18xl claria home ink,,epson singlepack cyan 18xl claria home ink,14.44,gbp,0
c146,llm_assisted,1,"[""r1175""]",32oz (946ml) wide mouth 2.0,,"fresh look for a fan favourite. big enough for a whole day on the water or in the trails, our 32oz (946ml) wide mouth bottle is made with professional-grade stainless steel and a wider opening for faster fill. we couldn’t think of a bottle more deserving of a refresh, so we’ve elevated the silhouette and simplified design without compromising one degree of performance. and our color last™ powder coat is dishwasher safe for even more convenience. cold stays ice cold for 24 hours, and hot stayssteaming for 12 — just like always. product benefits ideal size for all-day hydration fits...",79.99,nzd,0
c147,llm_assisted,1,"[""r1189""]","apc smt1000i smart-ups 1000va lcd 230v. apc smart-ups, 670watts/1000va ingresso 230v/uscita 230v interface port db-9 rs-232 smartslot, usb",,,569.43,,0
c148,llm_assisted,1,"[""r1202""]",toner brother tn-241mhl-3140/50/70,,toner brother tn-241m magenta,69.8,eur,0
c149,llm_assisted,1,"[""r1211""]",router - ac1200 - dual band - wlan - gigabit,,,60.8,eur,0
