pipeline,cluster_id,entity_id,attribute,predicted_value,gold_value,correct
baseline,c10,1116086,price,,6800,0
baseline,c10,1116086,priceCurrency,gbp,usd,0
baseline,c100,447864,title,,"sandisk extreme microsdxc,v30,u3,c10,a2,uhs-i,160mb/s r,90mb/sw,4x6,sdadaptor,lifetimelimited",0
baseline,c100,447864,brand,,sandisk,0
baseline,c100,447864,description,"mpn: sdsqxa1-256g-gn6mavendor:sandisksandisk extreme microsdxc,v30,u3,c10,a2,uhs-i,160mb/s r,90mb/sw,4x6,sdadaptor,lifetimelimitedsandisk extreme microsdxc,u3,c10,a2,uhs-i,160mb/s r,90mb/sw,4x6,sdadaptor,lifetimelimited","ideal for your android smartphone, action cameras or drones, the sandisk 256gb extreme microsdxc 160mb/s class 10 uhs-i sd card does 4k uhd video recording, full hd video and high-resolution photos.massive 256gb storage capacityread speeds of up to 160mb/s and write speeds of up to 90mb/sperfect for capturing 4k uhd and full hd videosshockproof, temperature-proof, waterproof and x-ray-proofcompatible with mobilemate usb 3.0 microsd card readerthe sandisk 256gb extreme microsdxc 160mb/s class 10 uhs-i sd card reads up to 160mb/s and writes up to 90mb/s. plus, it’s a2-rated, so you can get fast application performance for an exceptional smartphone experience.save time transferring contentquick read speeds of up to 160mb/s let you transfer 1000 high-resolution photos and 30 minutes of 4k video (24gb) in less than 3 minutes.write speeds of up to 90mb/scapture fast-action photos or shoot 4k uhd video with write speeds of up to 90mb/s. the sandisk extreme microsdxc uhs-i card lets you shoot more and faster.great for capturing 4k uhd videothe 256gb sandisk extreme microsd uhs-i card lets you capture uninterrupted 4k uhd and full hd video with its uhs speed class 3 (u3) and video speed class 30 (v30) ratings. ideal for recording outdoor adventures, weekend trips or sporting events without skipping frames!durable design for use in extreme environmentsthe sandisk extreme microsdxc uhs-i card is shockproof, temperature-proof, waterproof and x-ray-proof, so you can enjoy your adventures without worrying about the durability of your memory card.compatible with mobilemate usb 3.0 readerthe sandisk extreme microsdxc uhs-i card is compatible with mobilemate usb 3.0 microsd card reader with transfer speeds of up to 160mb/s, so you can move big files fast, move a lot of files fast or just make frequent file transfers that much quicker.easy file recovery with rescuepro deluxe softwarethe card comes with rescuepro deluxe data recovery software. this software makes it easy to recover files that have been accidently deleted (download required).",0
baseline,c100,447864,price,,179.99,0
baseline,c100,447864,priceCurrency,aud,gbp,0
baseline,c101,460679,title,es-16-150wubiquiti 16 port poe edgeswitch 150 watt,ubiquiti edgeswitch 16 - switch - 16 ports - managed - rack-mountable - black (es-16-150w),0
baseline,c101,460679,brand,,ubiquiti networks (ubnt),0
baseline,c101,460679,description,,"backubiquiti es-16-150wubiquiti networks edgeswitch 16-port 150-watt managed poe+ gigabit switch with sfpadvanced switching technologybuild and expand your network with ubiquiti networks edgeswitch, part of the edgemax line of products. the edgeswitch is a fully managed, poe+ gigabit switch, delivering robust performance and intelligent switching for growing networks. the edgeswitch offers an extensive suite of advanced layer-2 switching features and protocols, and also provides layer-3 routing capability.switching performancethe edgeswitch offers the forwarding capacity to simultaneously process traffic on all ports at line rate without any packet loss. for its total, non-blocking throughput, the 16-port models support up to 18 gbps.poe+ flexibilitythis edgeswitch poe gigabit ethernet switch offers 16 ports of auto-sensing ieee 802.3af/at and configurable 24v passive poe to simplify your infrastructure. by default, the edgeswitch automatically detects 802.3af/at devices so they automatically receive poe. for 24v passive poe devices, manually enable 24v passive poe using the edgeswitch configuration interface.fiber connectivitythe edgeswitch provides fiber connectivity options for your growing networks. this 16-port model includes two sfp ports, providing up to 1 gbps uplinks.comprehensive user interfacedesigned for convenient management, the edgeswitch configuration interface allows administrators to configure and monitor switch features in a graphical user interface. for advanced users, an industry-standard command-line interface (cli) is available through telnet and ssh.powerful functionalitythe edgeswitch uses a sophisticated operating system that provides basic switching features, poe configuration per port, and a variety of advanced features including:mstp/rstp/stp vlan, private vlan, voice vlan link aggregation dhcp snooping, igmp snooping tacacs+, radius, 802.1x, mac filtering, acldiffserv, cosstatic routing, policy-based routing",0
