record_id,spec_id,entity_id,source,base_title,base_brand,base_description,base_price,base_priceCurrency,base___title,base___brand,base___model
r15,source_alpha//1454207,104011,source_alpha,,,,,,cooler master masterliquid ml120r rgb - 120 mm,,
r16,source_beta//25440891,104011,source_beta,,cooler master,cooler master masterliquid ml120r rgb dual chamber all in one water cooler with 120mm radiator,,gbp,cooler master masterliquid ml120r rgb all in one liquid cooler,cooler master,
r17,source_gamma//40892614,104011,source_gamma,cm / coolermaster masterliquid ml120r argb cpu cooler (mlx-d12m-a20pc-r1)-wrty w/banleong,,,128.00,,cm / coolermaster masterliquid ml120r argb cpu cooler (mlx-d12m-a20pc-r1)-wrty w/banleong,,
r18,source_alpha//1803176,104347,source_alpha,,,,,eur,asus scheda madre tuf gaming x570-plus (wi-fi) amd,,
r19,source_beta//22974178,104347,source_beta,,asus,"tuf gaming x570-plus (wi-fi) distills the essential elements of the latest amd platform and combines them with game-ready features and proven durability. engineered with military-grade components, upgraded power solutions and a comprehensive set of cooling options, these motherboards deliver rock-solid performance with unwavering gaming stability.when you build with a tuf gaming motherboard, you also benefit from the tuf gaming alliance — an asus collaboration with trusted industry partners that ensures easier building, the best compatibility, and complementary aesthetics from components to case.rock-solid performancewith upgraded power delivery and comprehensive cooling options to fuel amd\\'s latest cpus, plus support for faster memory and storage, tuf gaming x570-plus (wi-fi) is the perfect foundation for your next high-core-count amd battle rig.easy pc diytuf gaming motherboards are designed to be easy to set up and configure just the way you want, even for first-time builders. from the tuf gaming alliance ecosystem that makes compatibility and part-picking easy to a one-stop software portal for all your configurations, tuf gaming motherboards give you everything you need to build your dream gaming rig without adding complexity.immersive gamingtuf gaming x570-plus (wi-fi) provides a complete, high-performance gaming package with a long list of features to improve your experience, including ultrafast networking for smoother online gameplay, pristine audio with positional cues for fps gaming, and onboard rgb lighting that syncs with attached accessories to help you create a personalized gaming atmosphere.",,gbp,asus tuf gaming x570plus wifi amd motherboard socket am4x570ddr4sata 600atx,asus,
r20,source_gamma//25652404,104347,source_gamma,"tuf gaming x570-plus wifi, mainboard",,,78235,,"tuf gaming x570-plus wifi, mainboard",asus,
r21,source_alpha//3272462,104347,source_alpha,,,,,aud,"amd am4 x570 atx gaming motherboard with pcie 4.0, dual m.2, wi-fi, 12+2 with dr. mos power stage...",,
r22,source_beta//36006501,104347,source_beta,,asus,,,aud,asus amd am4 x570 atx gaming motherboard tuf gaming x570-plus (wi-fi),asus,
r23,source_gamma//51184596,104347,source_gamma,asus tuf gaming x570-plus (wi-fi),,,355,,asus tuf gaming x570-plus (wi-fi),,
r24,source_alpha//10551504,106914,source_alpha,,,,,,samsung m.2 ssd 1tb 970 evo nvme,,
r25,source_beta//15556925,106914,source_beta,,,samsung 970 evo series - 1tb pcie nvme - m.2 internal ssdretail pack,,usd,"1tb 970 evo 2280, 3400 / 2500 mb/s, v-nand 3-bit mlc, pcie 3.0 x4 nvme, m.2 ssd",,
r26,source_gamma//23340250,106914,source_gamma,samsung 970 evo 1tb v-nand nvme m.2 internal ssd,,,189.99,,samsung 970 evo 1tb v-nand nvme m.2 internal ssd,samsung,
r27,source_alpha//36658258,106914,source_alpha,,,,,,m.2 1tb samsung 970 evo nvme pcie 3.0 x 4 retail,samsung electronics gmbh,
r28,source_beta//37439609,106914,source_beta,,samsung,,,sek,samsung 970 evo mz-v7e1t0bw - solid state drive - krypterat - 1 tb - inbyggd - m.2 2280 - pci express 3.0 x4 (nvme) - 256 bitars aes - tcg opal encryption 2.0,samsung,
r29,source_gamma//42453067,106914,source_gamma,samsung 970 evo ssd m.2 2280 - 1tb ssd - 1 tb - m.2 2280 (80mm) - pci express 3.0 x4 (nvme),,,1077.00,,samsung 970 evo ssd m.2 2280 - 1tb ssd - 1 tb - m.2 2280 (80mm) - pci express 3.0 x4 (nvme),,
r30,source_alpha//11279573,107440,source_alpha,,,,,cad,"shimano 10s xt cn-hg95 chain - 10-speed, 116 links",,
r31,source_beta//15548228,107440,source_beta,,,,,gbp,shimano cn-hg95 10-speed hg-x chain - 116 links,,
r32,source_gamma//189533,107440,source_gamma,xt hg95 10-speed chain,,,44.99,,xt hg95 10-speed chain,,
r33,source_alpha//29543701,107440,source_alpha,,,,,nzd,shimano cn-hg95 mtb chain 10-speed deore xt/slx/saint,,
r34,source_beta//32292330,107440,source_beta,,shimano,"bicycle chain, cn-hg95 super narrow hg for mtb 10-speed 116 links, w/o end pin, w/ampoule type connect pin x1, ind.pack",,omr,bicycle-chain-cn-hg95-super-narrow-hg-for-mtb-10-speed-116-links-w/o-end-pin-w/ampoule-type-connect-pin-x1,shimano,
r35,source_gamma//36626671,107440,source_gamma,shimano chain xt cn-hg95 10-speed,,,23.33,,shimano chain xt cn-hg95 10-speed,shimano,
r36,source_alpha//12346505,1085385,source_alpha,,,,,eur,"t596800 original druckerpatrone für plotter stylus pro 7700 / 7900 / 9700 / 9900 350ml, matt schwarz",epson,
r37,source_beta//17746757,1085385,source_beta,,,epson t596 ink cartridge matte black 350 mlsn: c13t596800,,bgn,epson t596 ink cartridge matte black 350 mlsn: c13t596800,,
r38,source_gamma//18351143,1085385,source_gamma,original epson t5968 matt black ink cartridge,,,155.90,,original epson t5968 matt black ink cartridge,,
r39,source_alpha//37770802,1085385,source_alpha,,,,,cad,"epson t596800 matte black 350ml ultrachrome hdr ink cartridge for sp7900, 9900, 7890, 9890",,
r40,source_beta//4436119,1085385,source_beta,,epson,epson t596800matte black ultrachrome hdr ink for 9900 350ml cartridges,,cad,epson epson t596800matte black ultrachrome hdr ink for 9900 350ml cartridges,epson,
r41,source_gamma//49792701,1085385,source_gamma,c13t596800 matte black ink epson 350ml,,,140.83,,c13t596800 matte black ink epson 350ml,epson,
r42,source_alpha//11980993,1086172,source_alpha,,,,,gbp,jabra biz 2300 duo usb ms lync headset,,
r43,source_beta//13502365,1086172,source_beta,,,"your contact center agents are your brand ambassadors, so give them the tool to sound as clear as your brand. in jabra’s biz™ 2300 world class sound meets world class durability in an exceptionally comfortable and stylish corded headset – keeping both your agents and your customers happy.jabra biz™ 2300 usb microsoft lync duo is a stereo headset that provides usb connectivity optimized for microsoft lync.",,usd,jabra biz 2300 usb ms duo,,
r44,source_gamma//1868178,1086172,source_gamma,jabra biz 2300 duo usb ms lync skype for business,,,"€ 104,30",,jabra biz 2300 duo usb ms lync skype for business,jabra,
r45,source_alpha//47886079,1086172,source_alpha,,,,,usd,jabra biz 2300 usb ms duo - headset,,
r46,source_beta//50121556,1086172,source_beta,,jabra,,,usd,jabra biz 2300 usb ms duo wired headset,jabra,
r47,source_gamma//5717009,1086172,source_gamma,jabra biz2300 2399-823-109 duo usb headset ms,,,160.0,,jabra biz2300 2399-823-109 duo usb headset ms,jabra,
r48,source_alpha//15068756,1090670,source_alpha,,,,,huf,kingston 256gb data traveler 100 generation 3 usb 3.0(fekete) (dt100g3/256gb),,
r49,source_beta//30847749,1090670,source_beta,,,kingston datatraveler 100 256gb usb 3.0,,gbp,kingston datatraveler 100 256gb usb 3.0,,
r50,source_gamma//39882549,1090670,source_gamma,kingston 256gb usb 3.0 datatraveler 100 g3,,,1124.74,,kingston 256gb usb 3.0 datatraveler 100 g3,,
r51,source_alpha//52323484,1090670,source_alpha,,,,,,256gb kingston usb 3.0 datatraveller 100,kingston,
r52,source_beta//63431675,1090670,source_beta,,,"kingston datatraveler 100 g3 256 gb, usb 3.0, black",,eur,"kingston datatraveler 100 g3 256 gb, usb 3.0, black",,
r53,source_gamma//64928819,1090670,source_gamma,kingston datatraveler 100 g3 256gb usb stick 3.0 flash drive - black,,,74.95,,kingston datatraveler 100 g3 256gb usb stick 3.0 flash drive - black,,
r54,source_alpha//26226675,1116086,source_alpha,,,,,usd,omega seamaster 300 master co-axial stainless steel & 18k sedna gold,,
r55,source_beta//27642042,1116086,source_beta,,omega,reference number 210.22.42.20.01.002 gold/steel automatic year 2020 watch with original box watch with original papers 42mm,,usd,omega seamaster diver 300m rose gold 42mm 210.22.42.20.01.002,omega,
r56,source_gamma//30651055,1116086,source_gamma,diver 300m 42mm steel sedna gold on rubber strap 210.22.42.20.01.002,,,38900,,diver 300m 42mm steel sedna gold on rubber strap 210.22.42.20.01.002,,
r57,source_alpha//42625486,1116086,source_alpha,,,,,gbp,seamaster diver 300m 18ct sedna gold automatic men’s watch,,
r58,source_beta//47562071,1116086,source_beta,,omega,"omega seamaster diver 300m 210.22.42.20.01.002 reviewthe omega seamaster diver seems to be the watch that will take the omega collections to greater limelight of luxurious timepieces. the omega seamaster diver celebrated its 30th anniversary in 2018. celebrations were marked by the release of more improved models of the watch. the omega seamaster diver 300m 210.22.42.20.01.002 is one of the upgraded versions of the model that has been released so far. the case of the omega seamaster diver 300m 210.22.42.20.01.002 has been increased by 1mm compared to its previous model. the model is encased in a 42 mm of the legendary omega sedna rose gold. this is combined with stainless steel which surrounds the black dial which is a laser-engraved wave. the case is water resistance up to 300 meters / 1000 feet (30bars). on the sides of the case, you will notice that the watch is equipped with scratch-resistant sapphire crystals.the anti-glare coated sapphire crystals are domed in shape. this is a very important feature for clearer legibility, due to the delicate coating the watch requires attention. the case looks very elegant with the satin-brushed finish. the thickness of the omega seamaster diver 300m 210.22.42.20.01.002 model is 13.5mm. the watch has a crown protector that is polished, and carefully tucked in between is a gold crown. another notable feature is the satin-brushed finish found on the sedna gold bezel, it creates a wonderful contrast to the glossy polish done on the ceramic. this model of omega seamaster diver watch has a bi-color concept. the concept has been smartly expressed by omega in several accents. all these accents have been created by the sedna™ gold (18k pink gold alloy) which is patented by omega. the alloy brings sportiness and more heat to the dial of the watch. in addition to that, the alloy has been used to fill the symbols which are located on the black ceramic bezel. the watch is manually controlled by the helium release valve located at the 10 o’clock sign. the helium release valve happens to be a signature feature of the omega seamaster diver 300m. however, there are some watches in the market which have the same water resistance level of 30 bars but don’t have the helium release valve. omega has maintained this feature in this model since it was present in the very first model of the omega seamaster diver 300m. the other additional feature of the helium release valve is that it can be opened and closed safely underwater.the dial has the legendary wave’s design which was seen in the original model but got lost in the previous updates of the model. the waves are a little different than the ones on the first model of omega seamaster diver. with this seamaster diver 300m model, the waves are laser engraved and are located on the polished ceramic dials. the dial has been made of polished ceramic and comes in a variety of colors: pvd chrome color, black or blue. at 6 o’clock you find the date aperture instead of 3 o’clock. the black date disc has a white print. close to the aperture you will find a smaller hour index. the lume color on the dial is pretty amazing. the hour indices are blue, the bezel is green, and so is the minute hand. the watch is powered by omega’s caliber 8800 internal movement. this is the very first-time omega is using an in house movement, all the previous models used the caliber 2500. the movement is certified as a master chronometer and very solid. the movement guarantees high accuracy ranging from +0 to +5 seconds daily. the timepiece comes both in rubbers tarps and steel bracelets. the ones with steel bracelets are more costly than the rubber strapped ones. the 210.22.42.20.01.002 model has rubbers straps. the rubber straps are much softer and supple compared to the previous rubber straps used by omega. instead of a folding buckle, omega included a normal buckle in this watch model. the buckle has an amazing finish and is signed omega. unlike the 1990s models’ rubber straps, these straps lack the double ridged feature. the watch has the following specifications:➢ stainless steel and sedna (18-carat rose gold) case.➢ the case has a diameter of 42mm, and thickness: 13.5mm➢ sapphire crystals➢ sapphire case back➢ 300 meters of water resistance ➢ rubber strap with a stainless steel buckle.the omega 210.22.42.20.01.002 model is a wonderful piece that can be worn during both official and casual events. visit exquisite timepieces to get your omega seamaster diver 300m 210.22.42.20.01.002 at an affordable price. the watch retails at around $5000. in addition to that, you can find reviews of other luxurious watches in the market. they also have the latest luxury watch arrivals and are the leading provider of luxury timepieces in the market.",,usd,omega seamaster diver 300m co-axial master chronometer sedna gold,omega,
r59,source_gamma//48732665,1116086,source_gamma,aaa replica omega seamaster diver 300m master co-axial watch 210.22.42.20.01.002,,,,,aaa replica omega seamaster diver 300m master co-axial watch 210.22.42.20.01.002,,
r60,source_alpha//10825358,1124550,source_alpha,,,,,usd,"shimano cn-hg601-11 chain - 11-speed, 116 links, silver",,
r61,source_beta//11427812,1124550,source_beta,,,"super narrow lightweight 11-speed hg-ev symmetrical design chain for smooth shifts and maximum durability.specifications:outer plate design has been developed to reduce the chance of chain sucksil-tec surface treatment technology (ptfe plating) on inner links that is smooth running and increases durabilitythe inner plate has been developed for better contact with gears providing smoother shifting under high load, giving efficient pedalling, increased rigidity and near silent running5.62 mm chain width, optimised for 11-speed super narrow hg-ev drivetrainscomes complete with quick link which enables fast tool-free chain assemblyaverage weight of 257 grams",,gbp,"shimano cn-hg601 105 5800 / slx m7000 chain with quick link 11-speed - 116 links, sil-tec",,
r62,source_gamma//32210028,1124550,source_gamma,"bicycle chain, cn-hg601-11, for 11-speed (road/mtb/e-bike compatible), 116 links(w/quick link, sm-cn900-11), ind.pack",,,44.99,,"bicycle chain, cn-hg601-11, for 11-speed (road/mtb/e-bike compatible), 116 links(w/quick link, sm-cn900-11), ind.pack",,
r63,source_alpha//346951,1124550,source_alpha,,,,,usd,105 hg601 11-speed chain,,
r64,source_beta//52108235,1124550,source_beta,,shimano,features + benefits - sil-tec surface treatment. smooth and reliable shifting performance with asymmetric plate design for 11-speed.,,usd,"shimano shimano bicycle chain,cn-hg601-11,ql 11-spdquick-lnk",shimano,
r65,source_gamma//5238163,1124550,source_gamma,"shimano shimano cn-hg601-11 chain - 11-speed, 116 links, silver",,,28.99,,"shimano shimano cn-hg601-11 chain - 11-speed, 116 links, silver",shimano,
r66,source_alpha//11022309,1126552,source_alpha,,,,,nok,apple - apple airpods 2 with wireless charging case mrxj2zm/a - white,,
r67,source_beta//28769706,1126552,source_beta,,,"summary:- designed by apple- automatically on, automatically connected- easy setup for all your apple devices6- quick access to siri by saying “hey siri” or setting up double-tap- double-tap to play or skip forward- charges quickly in the case- case can be charged with a lightning connector- rich, high-quality audio and voice- seamless switching between devicesmore magical than ever.the new airpods deliver the wireless headphone experience, reimagined. just pull them out of the charging case and they’re ready to use with your iphone, apple watch, ipad, or mac.after a simple one-tap setup, airpods work like magic. they’re automatically on and always connected. airpods can even sense when they’re in your ears and pause when you take them out.to adjust the volume, change the song, make a call, or even get directions, simply say “hey siri” and make your request. you have the freedom to wear one or both airpods, and you can play or skip forward with a double-tap when listening to music or podcasts.airpods deliver 5 hours of listening time1 and 3 hours of talk time on a single charge.2 and they’re made to keep up with you, thanks to a charging case that holds multiple charges for more than 24 hours of listening time.3 need a quick charge? just 15 minutes in the case gives you 3 hours of listening time4 or 2 hours of talk time.5powered by the all-new apple h1 headphone chip, airpods use optical sensors and motion accelerometers to detect when they’re in your ears. whether you’re using both airpods or just one, the h1 chip automatically routes the audio and engages the microphone. and when you’re on a call or talking to siri, an additional speech-detecting accelerometer works with beamforming microphones to filter out external noise and focus on the sound of your voice.what's in the box: - airpods- charging case- lightning to usb cable",,eur,airpods 2 with wireless charging case,,
r68,source_gamma//32999585,1126552,source_gamma,apple - airpods 2 med wireless charging case,,,2246.25,,apple - airpods 2 med wireless charging case,,
r69,source_alpha//55393360,1126552,source_alpha,,,,,sek,apple - airpods with wireless charging case in,,
r70,source_beta//55727345,1126552,source_beta,,apple,,,eur,apple airpods 2 boîtier charge sans fil,apple,
r71,source_gamma//72310020,1126552,source_gamma,"apple airpods 2019, mrxj2zm/a",,,,,"apple airpods 2019, mrxj2zm/a",,
r72,source_alpha//13173534,1130755,source_alpha,,,,,cad,sram sram nx eagle 12 speed shifter,sram,
r73,source_beta//18614279,1130755,source_beta,,,sram has expanded its eagle offerings with the introduction of the nx drivetrain line. the nx groupset is the go-to for riders seeking a more affordable 1x setup without sacrificing the technology and reliability that sram eagle is known for. the nx eagle shifter shares the same features benefits and...,,usd,sram nx eagle trigger shifter,,
r74,source_gamma//20702772,1130755,source_gamma,"sram nx eagle 12-speed trigger shifter with discrete clamp, black",,,42.00,,"sram nx eagle 12-speed trigger shifter with discrete clamp, black",,
r75,source_alpha//26727944,1130755,source_alpha,,,,,usd,"sram sram nx eagle 12-speed trigger shifter with discrete clamp, black",sram,
r76,source_beta//29012618,1130755,source_beta,,qbp,"the nx eagle trigger shifter means on-demand gear selection throughout the entire wide range eagle cassette. the massive range means you never have to worry about having the right gear for the terrain. nx eagle means easy, intuitive shifting every time for every rider.eagle technology creates a smoother and more precise shifting system with exceptional reliabilitycompatible with matchmaker x clampdesigned to be used with eagle 12-speed derailleurscolor:blackshifter style:triggerrear der/shifter compatibility:sram x-actuationdrivetrain speeds:12",,usd,sram nx eagle 12-speed trigger shifter with discrete clamp,qbp,
r77,source_gamma//29965851,1130755,source_gamma,sram shifter trigger nx eagle 12 speed black,,,69.99,,sram shifter trigger nx eagle 12 speed black,sram,
r78,source_alpha//18831523,1132050,source_alpha,,,,,eur,corsair vengeance lpx 8gb ddr4-3000 - dimm,corsair,
r79,source_beta//27988700,1132050,source_beta,,,"corsair vengeance lpx 8gb ddr4 3000mhz, 8 gb, 1 x",,,ddr4 8gb / 3000 corsair vengeance lpx,,
r80,source_gamma//32846148,1132050,source_gamma,corsair vengeance lpx 8gb ddr4 3000mhz(cmk8gx4m1d3000c16),,,9370,,corsair vengeance lpx 8gb ddr4 3000mhz(cmk8gx4m1d3000c16),,
r81,source_alpha//47751906,1132050,source_alpha,,,,,pln,corsair 8gb (1x8gb) 3000mhz cl16 vengeance lpx black,,
r82,source_beta//50005399,1132050,source_beta,,corsair,corsair 8gbx1 ddr4 3000mhz ram cmk8gx4m1d3000c16 vengeance lpx gaming ram,,try,corsair 8gbx1 ddr4 3000mhz ram cmk8gx4m1d3000c16 vengeance lpx gaming ram,corsair,
r83,source_gamma//5173760,1132050,source_gamma,corsair vengeance lpx 8gb ddr4 3000mhz memory (ram) module,,,48.77,,corsair vengeance lpx 8gb ddr4 3000mhz memory (ram) module,corsair,
r84,source_alpha//18346724,1138411,source_alpha,,,,,gbp,fenix 5x plus gps black smartwatch,,
r85,source_beta//20141337,1138411,source_beta,,,garmin fenix 5x plus sapphire black with black bandär en multisp…,,sek,garmin fenix 5x plus sapphire black with black band,,
r86,source_gamma//30182765,1138411,source_gamma,garmin fenix 5x plus sapphire,,,849,,garmin fenix 5x plus sapphire,,
r87,source_alpha//52404977,1138411,source_alpha,,,,,gbp,garmin fenix 5x plus sapphire black rubber strap 010-01989-01,garmin,
r88,source_beta//7218865,1138411,source_beta,,garmin,"for athletes and outdoor adventurers who want the ultimate in a multisport on-wrist trainer, the ultra-rugged fēnix 5x plus is here. it's our first fēnix series watch to offer a wrist-based pulse ox acclimation sensor for blood oxygen saturation awareness at high altitudes. other highlights include routable colour topoactive europe maps, wrist heart rate, a music player that lets you store and enjoy up to 500 songs — plus garmin pay, our contactless payment solution.",,eur,garmin fēnix® 5x plus sapphire black with black band 010-01989-01 smartwatch,garmin,
r89,source_gamma//75263315,1138411,source_gamma,"garmin gps chytré hodinky fenix5x plus sapphire black, black band",,,19006.00,,"garmin gps chytré hodinky fenix5x plus sapphire black, black band",,
r90,source_alpha//12401832,114602,source_alpha,,,,,thb,rugged 2tb thunderbolt 2 + usb 3.1 type c,lacie,
r91,source_beta//14035013,114602,source_beta,,,lacie 2tb rugged thunderbolt usb-c + usb 3.0,,gbp,lacie 2tb rugged thunderbolt usb-c + usb 3.0,,
r92,source_gamma//18227397,114602,source_gamma,lacie lacie 2tb rugged usb-c mobile hard drive,,,299.99,,lacie lacie 2tb rugged usb-c mobile hard drive,lacie,
r93,source_alpha//19078926,114602,source_alpha,,,,,aed,lacie 2tb rugged thunderbolt / usb-c mobile hdd,lacie,
r94,source_beta//24990804,114602,source_beta,,lacie,,,chf,rugged mobile storage 2tb thunderbolt usb-c hdd extern,lacie,
r95,source_gamma//32155362,114602,source_gamma,lacie 2tb 2.5 rugged portable thunderbolt type c,,,,,lacie 2tb 2.5 rugged portable thunderbolt type c,,
r96,source_alpha//12458426,1153303,source_alpha,,,,,aud,asus amd rog strix x570-e gaming am4 atx motherboard | pcbyte,asus,
r97,source_beta//20476299,1153303,source_beta,,,socket am4 • atx • amd x570 chipset,,,asus rog strix x570-e gaming,,
r98,source_gamma//2084228,1153303,source_gamma,asus rog strix x570-e gaming motherboard,,,479.00,,asus rog strix x570-e gaming motherboard,,
r99,source_alpha//22987259,1153303,source_alpha,,,,,,asus rog strix x570-e gaming (am4) (d) (90mb1150-m0eay0),asus,
r100,source_beta//45704871,1153303,source_beta,,,"socket am4, supports ryzen 3rd gen, ddr4, atx form factor, ryzen 3000 ready",,gbp,asus rog strix x570 gaminge am4 motherboard,,
r101,source_gamma//63370158,1153303,source_gamma,asus rog strix x570-e gaming - atx - socket am4 - amd x570,,,"€318,99",,asus rog strix x570-e gaming - atx - socket am4 - amd x570,asus,
r102,source_alpha//11102231,1155981,source_alpha,,,,,sek,tp-link ac1900 dual band high gain wireless usb adapter/archer t9uh,,
r103,source_beta//17091884,1155981,source_beta,,tp-link,,,pln,"tp-link archer t9uh | adapter wifi usb | ac1900, dual band",tp-link,
r104,source_gamma//35860022,1155981,source_gamma,tp-link archer-t9uh ac1900 usb 3.0 adaptr,,,518.57,,tp-link archer-t9uh ac1900 usb 3.0 adaptr,tp-link,
r105,source_alpha//50011753,1155981,source_alpha,,,,,huf,tp-link archer t9uh ac1900 high gain wireless dual band usb adapter,,
r106,source_beta//54755024,1155981,source_beta,,,"usb 3.0, 2.4/5 ghz, <20dbm, 600mbps/1300mbps, ieee 802.11ac/a/g/b/n",,eur,tp-link ac1900 high gain wireless dual band usb wifi adapter,,
r107,source_gamma//60392824,1155981,source_gamma,tplink / tp-link archer t9uh ac1900 high gain wireless dual band usb adapter / win+mac supported (local warranty 3years with tplink sg),,,75.00,,tplink / tp-link archer t9uh ac1900 high gain wireless dual band usb adapter / win+mac supported (local warranty 3years with tplink sg),,
r108,source_alpha//14721278,1164344,source_alpha,,,,,dzd,cle usb wifi tp-link n300 tl-wn821n,,
r109,source_beta//18363535,1164344,source_beta,,,tp-link tl-wn821n wireless usb adapter n 300 mbps,,eur,scheda di rete wireless n 300mbps usb tp-link tl-wn821n,,
r110,source_gamma//2210930,1164344,source_gamma,tp-link n300 wireless usb adapter tl-wn821n,,,₹999.00,,tp-link n300 wireless usb adapter tl-wn821n,tp-link,
r111,source_alpha//24187475,1164344,source_alpha,,,,,nzd,tp-link tl-wn821n 300mbps wireless-n usb adapter,,
r112,source_beta//24560720,1164344,source_beta,,,,,eur,tp-link tl-wn821n wireless n 300 usb adapter,,
r113,source_gamma//3664323,1164344,source_gamma,tp-link wireless n usb adapter 300mbps,,,4190,,tp-link wireless n usb adapter 300mbps,tplink,
r114,source_alpha//13356205,1176692,source_alpha,,,,,chf,ultra usb 3.0 dual drive type c 32go,,
