record_id,spec_id,entity_id,source,llm_title,llm_brand,llm_description,llm_price,llm_priceCurrency,llm___title,llm___brand,llm___model
r12,source_alpha//10142290,104011,source_alpha,cooler master masterliquid ml120r rgb all-in-one watercooler,coolermaster,"120mm, 4-pin pwm, up to 2000rpm, up to 30dba, argb fans, 2 year warranty",102.62,gbp,cooler master masterliquid ml120r rgb all-in-one watercooler,coolermaster,
r13,source_beta//11416702,104011,source_beta,cooler master masterliquid 120r rgb,,,0.0,pln,cooler master masterliquid 120r rgb,,
r14,source_gamma//13829035,104011,source_gamma,watercooling cooler master ml120r rgb (addressable),cooler master,watercooling cooler master ml120r rgb (addressable),101.99,eur,watercooling cooler master ml120r rgb (addressable),cooler master,
r15,source_alpha//1454207,104011,source_alpha,cooler master masterliquid ml120r rgb - 120 mm,,watercooling autonome - pwm - socket amd am4 / am3(+) / am2(+) / fm2(+) / fm1 et intel 2066 / 2011(-v3) / 1366 / 115x / 1200 / 775,,,cooler master masterliquid ml120r rgb - 120 mm,,
r16,source_beta//25440891,104011,source_beta,cooler master masterliquid ml120r rgb all in one liquid cooler,cooler master,cooler master masterliquid ml120r rgb dual chamber all in one water cooler with 120mm radiator,99.98,gbp,cooler master masterliquid ml120r rgb all in one liquid cooler,cooler master,
r17,source_gamma//40892614,104011,source_gamma,cm / coolermaster masterliquid ml120r argb cpu cooler (mlx-d12m-a20pc-r1)-wrty w/banleong,,warranty : 2 years with local distributor - ban leong,128.00,sgd,cm / coolermaster masterliquid ml120r argb cpu cooler (mlx-d12m-a20pc-r1)-wrty w/banleong,,
r18,source_alpha//1803176,104347,source_alpha,asus scheda madre tuf gaming x570-plus (wi-fi) amd,,,"€ 266,00",eur,asus scheda madre tuf gaming x570-plus (wi-fi) amd,,
r19,source_beta//22974178,104347,source_beta,asus tuf gaming x570plus wifi amd motherboard socket am4x570ddr4sata 600atx,asus,"tuf gaming x570-plus (wi-fi) distills the essential elements of the latest amd platform and combines them with game-ready features and proven durability. engineered with military-grade components, upgraded power solutions and a comprehensive set of cooling options, these motherboards deliver rock-solid performance with unwavering gaming stability.when you build with a tuf gaming motherboard, you also benefit from the tuf gaming alliance — an asus collaboration with trusted industry partners that ensures easier building, the best compatibility, and complementary aesthetics from components to case.rock-solid performancewith upgraded power delivery and comprehensive cooling options to fuel amd\\'s latest cpus, plus support for faster memory and storage, tuf gaming x570-plus (wi-fi) is the perfect foundation for your next high-core-count amd battle rig.easy pc diytuf gaming motherboards are designed to be easy to set up and configure just the way you want, even for first-time builders. from the tuf gaming alliance ecosystem that makes compatibility and part-picking easy to a one-stop software portal for all your configurations, tuf gaming motherboards give you everything you need to build your dream gaming rig without adding complexity.immersive gamingtuf gaming x570-plus (wi-fi) provides a complete, high-performance gaming package with a long list of features to improve your experience, including ultrafast networking for smoother online gameplay, pristine audio with positional cues for fps gaming, and onboard rgb lighting that syncs with attached accessories to help you create a personalized gaming atmosphere.",227.616,gbp,asus tuf gaming x570plus wifi amd motherboard socket am4x570ddr4sata 600atx,asus,
r20,source_gamma//25652404,104347,source_gamma,"tuf gaming x570-plus wifi, mainboard",asus,,78235,,"tuf gaming x570-plus wifi, mainboard",asus,
r21,source_alpha//3272462,104347,source_alpha,"amd am4 x570 atx gaming motherboard with pcie 4.0, dual m.2, wi-fi, 12+2 with dr. mos power stage...",,"mpn: 90mb1170-m0uay0vendor:asusamd am4 x570 atx gaming motherboard with pcie 4.0, dual m.2, wi-fi, 12+2 with dr. mos power stage, hdmi, dp, sata 6gb/samd am4 x570 atx gaming motherboard with pcie 4.0, dual m.2, wi-fi, 12+2 with dr. mos power stage, hdmi, dp, sata 6gb/s, usb 3.2 gen 2 and aura sync rgb lightingamd am4 socket: ready for 2nd and 3rd gen amd ryzentm processorsenhanced power solution: military-grade tuf components, procool socket and digi+ vrm for maximum durabilitycomprehensive cooling: active pch heatsink, vrm heatsink, m.2 heatsink, hybrid fan headers and fan xpert 4next-gen connectivity: dual pcie 4.0 m.2 and usb 3.2 gen 2 type-a /type-cgaming networking: exclusive realtekâ® l8200a gigabit ethernet, intel 2x2 802.11ac wi-fi with mu-mimo support, bluetooth 5.0, tuf languard and turbolan technologyrealtek s1200a codec: features an unprecedented 108db signal-to-noise ratio for the stereo line-out and a 103db snr for the line-in, providing pristine audio qualityaura sync rgb: synchronize led lighting with a vast portfolio of compatible pc gear, including addressable rgb stripstuf gaming alliance: asus hardware ecosystem ensures the best compatibility and complementary aesthetics from components to case",364.00,aud,"amd am4 x570 atx gaming motherboard with pcie 4.0, dual m.2, wi-fi, 12+2 with dr. mos power stage...",,
r22,source_beta//36006501,104347,source_beta,asus amd am4 x570 atx gaming motherboard tuf gaming x570-plus (wi-fi),asus,,417,aud,asus amd am4 x570 atx gaming motherboard tuf gaming x570-plus (wi-fi),asus,
r23,source_gamma//51184596,104347,source_gamma,asus tuf gaming x570-plus (wi-fi),,"features amd am4 socket: ready for 2nd and 3rd gen amd ryzentm processors enhanced power solution: military-grade tuf components, procool socket and digi+ vrm for maximum durability comprehensive cooling: active pch heatsink, vrm heatsink, m.2 heatsink, hybrid fan headers and fan xpert 4 next-gen connectivity: dual pcie 4.0 m.2 and usb 3.2 gen 2 type-a /type-c gaming networking: exclusive realtek® l8200a gigabit ethernet, intel 2x2 802.11ac wi-fi with mu-mimo support, bluetooth 5.0, tuf languard and turbolan technology realtek s1200a codec: features an unprecedented 108db signal-to-noise ratio for the stereo line-out and a 103db snr for the line-in, providing pristine audio quality aura sync rgb: synchronize led lighting with a vast portfolio of compatible pc gear, including addressable rgb strips tuf gaming alliance: asus hardware ecosystem ensures the best compatibility and complementary aesthetics from components to casespecifications cpu: amd am4 socket 2nd and 1st gen amd ryzen™ with radeon™ vega graphics/amd ryzen™ 2nd generation/3rd gen amd ryzen™ processors chipset: amd x570 memory: 3rd gen amd ryzen™ processors 4 x dimm, max. 128gb, ddr4 4400(o.c)/3466(o.c.)/3400(o.c.)/3200(o.c.)/3000(o.c.)/2933(o.c.)/2800(o.c.)/2666/2400/2133 mhz un-buffered memory 2nd gen amd ryzen™ processors 4 x dimm, max. 128gb, ddr4 3600(o.c.)/3466(o.c.)/3400(o.c.)/3200(o.c.)/3000(o.c.)/2933(o.c.)/2800(o.c.)/2666/2400/2133 mhz un-buffered memory 2nd and 1st gen amd ryzen™ with radeon™ vega graphics processors 4 x dimm, max. 128gb, ddr4 3200(o.c.)/3000(o.c.)/2933(o.c.)/2800(o.c.)/2666/2400/2133 mhz un-buffered memory dual channel memory architecture ecc memory (ecc mode) support varies by cpu. * refer to www.asus.com for the memory qvl (qualified vendors lists). graphic: integrated graphics in the 2nd and 1st gen amd ryzen™ with radeon™ vega graphics processors multi-vga output support : hdmi/displayport ports - supports hdmi 1.4b with max. resolution 4096 x 2160 @ 24 hz - supports displayport with max. resolution 4096 x 2160 @ 60 hz multi-gpu support: 3rd and 2nd gen amd ryzen™ processors amd ryzen™ 2nd generation/ryzen™ 1st generation processors supports amd crossfirex™ technology expansion slots: 3rd gen amd ryzen™ processors 1 x pcie 4.0 x16 (x16 mode) 2nd gen amd ryzen™ processors 1 x pcie 3.0 x16 (x16 mode) 2nd and 1st gen amd ryzen™ with radeon™ vega graphics processors 1 x pcie 3.0/2.0 x16 (x8 mode) amd x570 chipset 1 x pcie 4.0 x16 (max at x4 mode) 2 x pcie 4.0 x1 storage: 3rd gen amd ryzen™ processors : 1 x m.2 socket 3, with m key, type 2242/2260/2280/22110(pcie 4.0 x4 and sata modes) storage devices support 2nd gen amd ryzen™ processors : 1 x m.2 socket 3, with m key, type 2242/2260/2280/22110(pcie 3.0 x4 and sata modes) storage devices support amd x570 chipset : 1 x m.2 socket 3, with m key, type 2242/2260/2280/22110(pcie 4.0 x4 and sata modes) storage devices support 8 x sata 6gb/s port(s) support raid 0, 1, 10 lan: realtek® l8200a asus turbo lan utility tuf languard wireless data network: intel® wireless-ac 9260 wi-fi 802.11 a/b/g/n/ac supports dual band frequency 2.4/5 ghz supports mu-mimo supports channel bandwidth: ht20/ht40/ht80/ht160. up to 1.73gbps transfer speed bluetooth: bluetooth® 5.0 audio: realtek® alc s1200a 8-channel high definition audio codec audio feature : - exclusive dts custom for gaming headsets. - audio shielding: ensures precision analog/digital separation and greatly reduced multi-lateral interference - dedicated audio pcb layers: separate layers for left and right channels to guard the quality of the sensitive audio signals - premium japanese audio capacitors: provide warm, natural and immersive sound with exceptional clarity and fidelity - audio cover: effective shielding preserves the integrity of audio signals to ensure best quality. usb ports 3rd and 2nd gen amd ryzen™/2nd and 1st gen amd ryzen™ with radeon™ vega graphics processors : 4 x usb 3.2 gen 1 port(s) (4 at back panel, ) amd x570 chipset : 3 x usb 3.2 gen 2 port(s) (3 at back panel, , 2 x type-a+1 x usb type-ctm) amd x570 chipset : 2 x usb 3.2 gen 1 port(s) (2 at mid-board) amd x570 chipset : 4 x usb 2.0 port(s) (4 at mid-board) special features asus tuf protection - asus safeslot: protect your graphics card investment - asus esd guard: enhanced esd protection - asus overvoltage protection: world-class circuit-protecting power design - asus stainless-steel back i/o: 3x corrosion-resistance for greater durability! - asus digi+ vrm: precision control for stable power - asus languard: protects against lan surges, lightning strikes and static-electricity discharges! aura : - aura lighting control - aura rgb strip headers - addressable gen 2 header asus exclusive features : - ai suite 3 - ai charger asus quiet thermal solution : - stylish design: mos heat-sink with dual thermal pads design, pch fan, pch and m.2 heatsink - asus fan xpert 4 asus ez diy : - asus crashfree bios 3 - asus ez flash 3 - asus uefi bios ez mode asus q-design : - asus q-led (cpu, dram, vga, boot device led) - asus q-slot - asus q-dimm back i/o ports: 1 x ps/2 keyboard/mouse combo port(s) 1 x displayport 1 x hdmi 1 x lan (rj45) port(s) 1 x optical s/pdif out 5 x audio jack(s) 4 x usb 3.2 gen 1 (up to 5gbps) ports 3 x usb 3.2 gen 2 (up to 10gbps) ports (type-a + usb type-ctm) asus wi-fi module (wi-fi 802.11 a/b/g/n/ac and bluetooth v5.0) internal i/o ports: 2 x aura rgb strip header(s) 1 x addressable gen 2 header(s) 2 x usb 2.0 connector(s) support(s) additional 4 usb 2.0 port(s) 1 x m.2 socket 3 with m key, type 2242/2260/2280/22110 storage devices support (sata mode & x4 pcie mode) 1 x m.2 socket 3 with m key, type 2242/2260/2280/22110 storage devices support (sata mode & x4 pcie mode) 1 x spi tpm header 8 x sata 6gb/s connector(s) 1 x cpu fan connector(s) 1 x cpu opt fan connector(s) 3 x chassis fan connector(s) 1 x aio_pump connector 1 x 24-pin eatx power connector(s) 1 x 8-pin atx 12v power connector(s) 1 x 4-pin atx 12v power connector(s) 1 x front panel audio connector(s) (aafp) 1 x system panel(s) 1 x clear cmos jumper(s) 1 x com port header 1 x usb 3.2 gen 1 (up to 5gbps) connector support additional 2 usb ports accessories: user's manual i/o shield 2 x sata 6gb/s cable(s) 1 x m.2 screw package 1 x supporting dvd 1 x asus 2t2r dual band wi-fi moving antennas (wi-fi 802.11a/b/g/n/ac compliant) 1 x tuf gaming sticker 1 x tuf certification card(s) for further specifications click here",355,aud,asus tuf gaming x570-plus (wi-fi),,
r24,source_alpha//10551504,106914,source_alpha,samsung m.2 ssd 1tb 970 evo nvme,,,148.89,,samsung m.2 ssd 1tb 970 evo nvme,,
r25,source_beta//15556925,106914,source_beta,"1tb 970 evo 2280, 3400 / 2500 mb/s, v-nand 3-bit mlc, pcie 3.0 x4 nvme, m.2 ssd",,samsung 970 evo series - 1tb pcie nvme - m.2 internal ssdretail pack,175.29,usd,"1tb 970 evo 2280, 3400 / 2500 mb/s, v-nand 3-bit mlc, pcie 3.0 x4 nvme, m.2 ssd",,
r26,source_gamma//23340250,106914,source_gamma,samsung 970 evo 1tb v-nand nvme m.2 internal ssd,samsung,"accelerate into next-gen computing. the samsung 970 evo delivers breakthrough speeds, best-in-class reliability, and a broad range of capacity options up to 2tb*. the latest v-nand, new phoenix controller, and intelligent turbowrite technology enhance high-end gaming and 4k & 3d graphic editing.",189.99,gbp,samsung 970 evo 1tb v-nand nvme m.2 internal ssd,samsung,
r27,source_alpha//36658258,106914,source_alpha,m.2 1tb samsung 970 evo nvme pcie 3.0 x 4 retail,samsung electronics gmbh,read/write: 3400/2500mlc,,,m.2 1tb samsung 970 evo nvme pcie 3.0 x 4 retail,samsung electronics gmbh,
r28,source_beta//37439609,106914,source_beta,samsung 970 evo mz-v7e1t0bw - solid state drive - krypterat - 1 tb - inbyggd - m.2 2280 - pci express 3.0 x4 (nvme) - 256 bitars aes - tcg opal encryption 2.0,samsung,,1682,sek,samsung 970 evo mz-v7e1t0bw - solid state drive - krypterat - 1 tb - inbyggd - m.2 2280 - pci express 3.0 x4 (nvme) - 256 bitars aes - tcg opal encryption 2.0,samsung,
r29,source_gamma//42453067,106914,source_gamma,samsung 970 evo ssd m.2 2280 - 1tb ssd - 1 tb - m.2 2280 (80mm) - pci express 3.0 x4 (nvme),,"ssd (solid state drive), 1 tb, intern, datahastighed: 3400 mbps (læs) / 2500 mbps (skriv), iops: 500000 (læs) / 450000 (skriv), 1gb lpddr4 cache, m.2 2280 (80mm), m.2 2280 (80mm), pci-express 3.0 x4 nvme 1.2 (non-volatile memory express), 256-bit aes kryptering, tcg opal encryption - samsung phoenix controller",1077.00,dkk,samsung 970 evo ssd m.2 2280 - 1tb ssd - 1 tb - m.2 2280 (80mm) - pci express 3.0 x4 (nvme),,
r30,source_alpha//11279573,107440,source_alpha,"shimano 10s xt cn-hg95 chain - 10-speed, 116 links",,shimano cn-hg95 10-speed chains hg-x 10-speed chain directional chain designed for mtb riding conditions mud shedding design for smooth shifting performance under high load pedaling in muddy conditions chromized rivet pins & zinc-alloy coating improve corrosion & wear resistance compatible with 10-speed dyna-sys drivetrains,59.99,cad,"shimano 10s xt cn-hg95 chain - 10-speed, 116 links",,
r31,source_beta//15548228,107440,source_beta,shimano cn-hg95 10-speed hg-x chain - 116 links,,,2.999e1,gbp,shimano cn-hg95 10-speed hg-x chain - 116 links,,
r32,source_gamma//189533,107440,source_gamma,xt hg95 10-speed chain,,- 10-speed compatible- shimano xt- 116 links,44.99,usd,xt hg95 10-speed chain,,
r33,source_alpha//29543701,107440,source_alpha,shimano cn-hg95 mtb chain 10-speed deore xt/slx/saint,,lightweight shimano chain for 10-speed mtb drivetrains.,59.99,nzd,shimano cn-hg95 mtb chain 10-speed deore xt/slx/saint,,
r34,source_beta//32292330,107440,source_beta,bicycle-chain-cn-hg95-super-narrow-hg-for-mtb-10-speed-116-links-w/o-end-pin-w/ampoule-type-connect-pin-x1,shimano,"bicycle chain, cn-hg95 super narrow hg for mtb 10-speed 116 links, w/o end pin, w/ampoule type connect pin x1, ind.pack",14.0,omr,bicycle-chain-cn-hg95-super-narrow-hg-for-mtb-10-speed-116-links-w/o-end-pin-w/ampoule-type-connect-pin-x1,shimano,
r35,source_gamma//36626671,107440,source_gamma,shimano chain xt cn-hg95 10-speed,shimano,"shimano chain xt cn-hg95 10-speednew hg-x chains - efficient, quieter, less maintenance with new surface treatment.the all-new, directional 10-speed hg-x chain specifically for mountain bikes is the next evolutionary step in shifting technology. this chain stays smooth, saves weight and improves overall system performance. hg-x chain with directional design: the right side is optimized for switching the front, the left for rear. for use with: xtr / deore xt / slxxt cn-hg95 chain 10-speed 116 links use: mtb series: xt dyna-sys type: hg-x 10-speed super narrow inner plate: zinc-aluminum coated outer plate: zinc-aluminum coated chrome rivets: yes perforated tabs: yes note: the hg-x chain is not compatible with other, designed for road bikes 10-speed circuits.",23.33,eur,shimano chain xt cn-hg95 10-speed,shimano,
r36,source_alpha//12346505,1085385,source_alpha,"t596800 original druckerpatrone für plotter stylus pro 7700 / 7900 / 9700 / 9900 350ml, matt schwarz",epson,"epson original patrone inhalt: 350 ml. farbe: black matt, passt in epson stylus pro 7700 / 7900 / 9700 / 9900marke: epson, artikelnummer: t596800ean nummer: 0010343868465 inhalt (herstellerangabe): 350 mlepson stylus pro - serie:7700;7890;7890 series;7890 spectroproofer;7890 spectroproofer uv;7900;7900 series;7900 spectroproofer;7900 spectroproofer uv;9700;9890;9890 series;9890 spectroproofer;9890 spectroproofer uv;9900 spectroproofer;",171.46,eur,"t596800 original druckerpatrone für plotter stylus pro 7700 / 7900 / 9700 / 9900 350ml, matt schwarz",epson,
r37,source_beta//17746757,1085385,source_beta,epson t596 ink cartridge matte black 350 mlsn: c13t596800,,epson t596 ink cartridge matte black 350 mlsn: c13t596800,314.15,bgn,epson t596 ink cartridge matte black 350 mlsn: c13t596800,,
r38,source_gamma//18351143,1085385,source_gamma,original epson t5968 matt black ink cartridge,,original epson t5968 matt black ink cartridge,155.90,gbp,original epson t5968 matt black ink cartridge,,
r39,source_alpha//37770802,1085385,source_alpha,"epson t596800 matte black 350ml ultrachrome hdr ink cartridge for sp7900, 9900, 7890, 9890",,,189.99,cad,"epson t596800 matte black 350ml ultrachrome hdr ink cartridge for sp7900, 9900, 7890, 9890",,
r40,source_beta//4436119,1085385,source_beta,epson epson t596800matte black ultrachrome hdr ink for 9900 350ml cartridges,epson,epson t596800matte black ultrachrome hdr ink for 9900 350ml cartridges,189.00,cad,epson epson t596800matte black ultrachrome hdr ink for 9900 350ml cartridges,epson,
r41,source_gamma//49792701,1085385,source_gamma,c13t596800 matte black ink epson 350ml,epson,"epson stylus pro 79 + 99 series -350ml – matt black . epson ultrachrome hdr represents our latest generation of pigment ink technology. now utilizing ten colors - including an all-new orange and green - epson ultrachrome hdr ink produces the widest color gamut ever from an epson stylus pro printer. even more remarkable, combining epson ultrachrome hdr ink with our new epson accuphoto™ hdr screening technology dramatically raises the level of print quality and once again sets a new benchmark standard for photographic reproduction. the advanced epson micropiezo tfp print head is capable of producing higher quality prints, at speeds almost twice as fast as our previous generation. and, with our latest ink-repelling coating and auto nozzle verification technologies, clogged nozzles are virtually eliminated.",140.83,gbp,c13t596800 matte black ink epson 350ml,epson,
r42,source_alpha//11980993,1086172,source_alpha,jabra biz 2300 duo usb ms lync headset,,jabra biz 2300 duo usb ms lync headset,116.97,gbp,jabra biz 2300 duo usb ms lync headset,,
r43,source_beta//13502365,1086172,source_beta,jabra biz 2300 usb ms duo,,"your contact center agents are your brand ambassadors, so give them the tool to sound as clear as your brand. in jabra’s biz™ 2300 world class sound meets world class durability in an exceptionally comfortable and stylish corded headset – keeping both your agents and your customers happy.jabra biz™ 2300 usb microsoft lync duo is a stereo headset that provides usb connectivity optimized for microsoft lync.",149.00,usd,jabra biz 2300 usb ms duo,,
r44,source_gamma//1868178,1086172,source_gamma,jabra biz 2300 duo usb ms lync skype for business,jabra,,"€ 104,30",eur,jabra biz 2300 duo usb ms lync skype for business,jabra,
r45,source_alpha//47886079,1086172,source_alpha,jabra biz 2300 usb ms duo - headset,,"your contact center agents are your brand ambassadors, so give them the tool to sound as clear as your brand. in jabra's biz 2300 world class sound meets world class durability in an exceptionally comfortable and stylish corded headset – keeping both your agents and your customers happy. jabra biz 2300 usb microsoft duo is a stereo headset that provides usb connectivity optimized for microsoft skype for business.",168,usd,jabra biz 2300 usb ms duo - headset,,
r46,source_beta//50121556,1086172,source_beta,jabra biz 2300 usb ms duo wired headset,jabra,,168,usd,jabra biz 2300 usb ms duo wired headset,jabra,
r47,source_gamma//5717009,1086172,source_gamma,jabra biz2300 2399-823-109 duo usb headset ms,jabra,"jabra biz2300 2399-823-109 duo usb headset ms:corded stereo headset that provides connectivity certified for skype for businessair shock microphone360 swiveling boom armbiz2300 has high-definition sound with hd voice and get crystal clear, intelligible communicationkevlar® reinforced cordnoise canceling microphonepeakstop technology immediately removes potentially harmful loud soundsclear sound is essential for a good conversation not to mention call efficiency and accuracycontrol unit call-managementjabra software applications, customize and control your audio device settings with jabra’s software applicationsbiz2300 datasheetbiz2300 quick start guide",160.0,usd,jabra biz2300 2399-823-109 duo usb headset ms,jabra,
r48,source_alpha//15068756,1090670,source_alpha,kingston 256gb data traveler 100 generation 3 usb 3.0(fekete) (dt100g3/256gb),,,11960,huf,kingston 256gb data traveler 100 generation 3 usb 3.0(fekete) (dt100g3/256gb),,
r49,source_beta//30847749,1090670,source_beta,kingston datatraveler 100 256gb usb 3.0,,kingston datatraveler 100 256gb usb 3.0,39.92,gbp,kingston datatraveler 100 256gb usb 3.0,,
r50,source_gamma//39882549,1090670,source_gamma,kingston 256gb usb 3.0 datatraveler 100 g3,,,1124.74,zar,kingston 256gb usb 3.0 datatraveler 100 g3,,
r51,source_alpha//52323484,1090670,source_alpha,256gb kingston usb 3.0 datatraveller 100,kingston,datatraveler 100 g3 256gb,34.79,,256gb kingston usb 3.0 datatraveller 100,kingston,
r52,source_beta//63431675,1090670,source_beta,"kingston datatraveler 100 g3 256 gb, usb 3.0, black",,"kingston datatraveler 100 g3 256 gb, usb 3.0, black",47.4,eur,"kingston datatraveler 100 g3 256 gb, usb 3.0, black",,
r53,source_gamma//64928819,1090670,source_gamma,kingston datatraveler 100 g3 256gb usb stick 3.0 flash drive - black,,,74.95,eur,kingston datatraveler 100 g3 256gb usb stick 3.0 flash drive - black,,
r54,source_alpha//26226675,1116086,source_alpha,omega seamaster 300 master co-axial stainless steel & 18k sedna gold,,"210.22.42.20.01.002 omegathis watch has 42 mm stainless steel & 18k sedna gold case. black ceramic bezel with a ceragold™ diving scale.polished black ceramic dial and features laser-engraved waves, skeleton hands, raised indexes are 18k sedna™ gold and are filled with white super-luminova. black rubber strap. automatic movement. functions: date, hours, minutes, seconds. water resistance up to 300 m./1000 ft. 210.22.42.20.01.002omega stainless steel& 18k sedna gold watch.",6800,usd,omega seamaster 300 master co-axial stainless steel & 18k sedna gold,,
r55,source_beta//27642042,1116086,source_beta,omega seamaster diver 300m rose gold 42mm 210.22.42.20.01.002,omega,reference number 210.22.42.20.01.002 gold/steel automatic year 2020 watch with original box watch with original papers 42mm,5450,usd,omega seamaster diver 300m rose gold 42mm 210.22.42.20.01.002,omega,
r56,source_gamma//30651055,1116086,source_gamma,diver 300m 42mm steel sedna gold on rubber strap 210.22.42.20.01.002,,,38900,try,diver 300m 42mm steel sedna gold on rubber strap 210.22.42.20.01.002,,
r57,source_alpha//42625486,1116086,source_alpha,seamaster diver 300m 18ct sedna gold automatic men’s watch,,,5840,gbp,seamaster diver 300m 18ct sedna gold automatic men’s watch,,
